wall_time,cam_index,rtp_seq,network_ms
15:16:00.279,1,10352,18064.2473
15:16:00.282,2,32630,16219.3315
15:16:00.292,0,26294,8117.7731
15:16:00.307,1,10364,18038.1995
15:16:00.313,2,32641,16208.4491
15:16:00.336,0,26303,8100.8495
15:16:00.347,2,32652,16155.6468
15:16:00.351,1,10376,18046.1638
15:16:00.390,0,26313,8129.0061
15:16:00.395,1,10387,18051.3737
15:16:00.396,2,32664,16203.0171
15:16:00.418,0,26321,8127.6484
15:16:00.428,1,10402,18027.4015
15:16:00.432,2,32675,16194.3324
15:16:00.471,1,10413,18050.0914
15:16:00.475,2,32688,16215.6336
15:16:00.558,2,32700,16251.7710
15:16:00.562,0,26329,8228.2318
15:16:00.563,1,10425,18099.4498
15:16:00.566,2,32711,16213.9049
15:16:00.567,1,10437,18028.2707
15:16:00.581,0,26338,8192.8829
15:16:00.585,0,26347,8172.1009
15:16:00.597,0,26527,8032.5618
15:16:00.600,1,10449,18019.9923
15:16:00.600,2,32724,16212.6613
15:16:00.618,0,26547,8034.7003
15:16:00.630,1,10463,18040.6654
15:16:00.639,2,32736,16210.0292
15:16:00.658,0,26556,8071.9473
15:16:00.667,2,32747,16204.9358
15:16:00.671,1,10475,18028.6847
15:16:00.702,0,26565,8083.2311
15:16:00.704,1,10487,18038.6015
15:16:00.709,2,32758,16162.4790
15:16:00.730,0,26573,8069.0492
15:16:00.748,1,10500,18040.4242
15:16:00.751,2,32772,16186.3167
15:16:00.817,1,10515,18056.9157
15:16:00.817,0,26581,8123.3075
15:16:00.817,2,32784,16221.6515
15:16:00.822,0,26589,8085.9288
15:16:00.827,2,32797,16180.6331
15:16:00.832,1,10528,18044.4502
15:16:00.876,0,26596,8103.3980
15:16:00.876,1,10540,18049.7846
15:16:00.877,2,32810,16206.6025
15:16:00.890,0,26605,8048.7831
15:16:00.908,1,10554,18007.9714
15:16:00.914,2,32820,16206.8150
15:16:00.943,0,26613,8090.4398
15:16:00.947,1,10568,18021.9922
15:16:00.953,2,32832,16194.2899
15:16:00.976,0,26622,8069.8964
15:16:00.999,2,32844,16210.5517
15:16:01.002,1,10582,18043.1278
15:16:01.030,0,26630,8101.4438
15:16:01.030,1,10593,18044.6891
15:16:01.045,2,32856,16217.8443
15:16:01.049,0,26638,8078.1165
15:16:01.067,1,10604,18042.5131
15:16:01.072,2,32867,16210.5081
15:16:01.104,0,26646,8086.6562
15:16:01.109,1,10618,18029.5196
15:16:01.115,2,32878,16200.2016
15:16:01.135,0,26654,8082.4794
15:16:01.147,2,32890,16192.2714
15:16:01.153,1,10631,18044.7236
15:16:01.181,0,26663,8068.2125
15:16:01.185,1,10644,18040.5982
15:16:01.196,2,32902,16189.5719
15:16:01.212,0,26671,8086.2563
15:16:01.234,1,10655,18039.3191
15:16:01.237,2,32914,16211.0384
15:16:01.255,0,26680,8081.4773
15:16:01.292,2,32926,16225.9202
15:16:01.292,1,10667,18070.7055
15:16:01.296,0,26688,8069.3601
15:16:01.311,1,10681,18046.9387
15:16:01.316,2,32939,16196.1771
15:16:01.366,0,26696,8112.4393
15:16:01.366,1,10693,18060.8244
15:16:01.368,2,32950,16220.7940
15:16:01.371,0,26704,8069.9933
15:16:01.388,1,10706,18050.7981
15:16:01.393,2,32962,16205.4522
15:16:01.448,1,10718,18062.8209
15:16:01.448,0,26712,8098.8339
15:16:01.450,2,32974,16220.5196
15:16:01.598,0,26722,8222.1937
15:16:01.613,0,26730,8187.8362
15:16:01.616,0,26910,7970.6353
15:16:01.664,0,26919,7999.7882
15:16:01.677,2,32986,16412.8667
15:16:01.679,1,10730,18250.5138
15:16:01.680,0,26929,8012.8150
15:16:01.680,2,32997,16373.1021
15:16:01.683,2,33008,16336.4187
15:16:01.684,0,26937,8014.3703
15:16:01.686,2,33020,16278.8297
15:16:01.699,1,10933,18016.1390
15:16:01.702,1,10968,18018.5363
15:16:01.706,1,10980,18020.1492
15:16:01.719,0,26946,8019.9118
15:16:01.723,2,33032,16301.2431
15:16:01.724,1,10992,18020.9930
15:16:01.744,0,26955,8040.7068
15:16:01.745,1,11008,18038.0845
15:16:01.752,2,33219,16035.9544
15:16:01.771,0,26963,8063.4502
15:16:01.798,1,11018,18046.4667
15:16:01.799,2,33279,16082.5367
15:16:01.815,0,26971,8075.3860
15:16:01.827,2,33291,16105.5668
15:16:01.830,1,11029,18031.7065
15:16:01.859,0,26980,8087.5901
15:16:01.870,2,33302,16111.0630
15:16:01.871,1,11040,18041.3870
15:16:01.922,0,26988,8110.2971
15:16:01.923,1,11052,18067.0919
15:16:01.925,2,33313,16135.9114
15:16:01.929,0,26996,8058.0515
15:16:01.950,1,11065,18042.9584
15:16:01.954,2,33324,16124.5551
15:16:01.977,0,27005,8080.1903
15:16:01.989,1,11076,18032.4546
15:16:01.989,2,33336,16125.2209
15:16:02.039,1,11087,18052.2738
15:16:02.040,0,27012,8102.4479
15:16:02.040,2,33349,16122.1863
15:16:02.061,0,27020,8084.4431
15:16:02.064,1,11098,18045.9543
15:16:02.073,2,33360,16126.5458
15:16:02.090,0,27029,8055.1864
15:16:02.117,1,11111,18054.4489
15:16:02.117,2,33372,16125.5438
15:16:02.135,0,27037,8081.2362
15:16:02.147,2,33384,16113.9298
15:16:02.149,1,11123,18044.1232
15:16:02.179,0,27044,8083.2938
15:16:02.194,1,11134,18002.5614
15:16:02.194,2,33396,16129.0987
15:16:02.238,0,27053,8067.8581
15:16:02.239,1,11146,18046.5297
15:16:02.239,2,33409,16129.6317
15:16:02.252,0,27060,8077.3033
15:16:02.270,1,11158,18032.9695
15:16:02.286,2,33419,16137.3535
15:16:02.295,0,27068,8059.1730
15:16:02.307,2,33430,16114.3175
15:16:02.310,1,11170,18046.1076
15:16:02.344,0,27077,8089.7222
15:16:02.352,1,11182,18052.6305
15:16:02.354,2,33443,16126.7966
15:16:02.381,0,27085,8084.2756
15:16:02.395,1,11196,18042.2912
15:16:02.398,2,33456,16131.3211
15:16:02.411,0,27092,8084.5944
15:16:02.429,1,11207,18042.1295
15:16:02.434,2,33467,16113.4505
15:16:02.469,1,11220,18043.5527
15:16:02.469,2,33478,16116.8573
15:16:02.530,1,11231,18068.1503
15:16:02.530,2,33489,16141.0357
15:16:02.542,0,27101,8167.3194
15:16:02.560,0,27110,8125.3889
15:16:02.566,1,11242,18020.0474
15:16:02.566,0,27291,8002.6484
15:16:02.570,2,33500,16133.2638
15:16:02.579,0,27310,7998.0244
15:16:02.587,1,11255,18022.5969
15:16:02.595,2,33513,16126.7674
15:16:02.625,0,27319,8040.3634
15:16:02.627,2,33524,16071.6513
15:16:02.634,1,11266,18038.8436
15:16:02.691,0,27327,8043.3269
15:16:02.697,2,33537,16122.9891
15:16:02.698,0,27335,8038.4502
15:16:02.698,1,11277,18081.4344
15:16:02.703,1,11290,18032.6058
15:16:02.711,2,33548,16130.5018
15:16:02.746,0,27343,8030.8782
15:16:02.749,1,11303,18042.0775
15:16:02.754,2,33559,16124.1726
15:16:02.779,0,27351,8052.9404
15:16:02.787,2,33572,16117.4033
15:16:02.790,1,11315,18033.5446
15:16:02.843,0,27359,8071.2564
15:16:02.844,1,11327,18067.7567
15:16:02.846,2,33584,16103.4444
15:16:02.850,0,27367,8018.1540
15:16:02.864,1,11339,18041.4324
15:16:02.901,2,33595,16158.1093
15:16:02.903,0,27375,8048.7385
15:16:02.909,1,11350,18044.8624
15:16:02.914,2,33608,16105.8870
15:16:02.936,0,27383,8041.7316
15:16:02.956,2,33618,16129.3920
15:16:02.957,1,11361,18042.1378
15:16:02.978,0,27390,8040.2832
15:16:02.992,2,33630,16116.8394
15:16:02.993,1,11375,18038.2902
15:16:03.011,0,27398,8042.9376
15:16:03.031,1,11386,18050.2851
15:16:03.034,2,33640,16133.1862
15:16:03.056,0,27405,8039.7413
15:16:03.083,1,11398,18057.3576
15:16:03.091,2,33652,16134.1021
15:16:03.103,0,27414,8039.4052
15:16:03.122,2,33662,16135.0073
15:16:03.122,1,11410,18053.7916
15:16:03.141,0,27421,8044.8075
15:16:03.154,2,33674,16117.8160
15:16:03.157,1,11422,18060.4357
15:16:03.200,0,27429,8069.9244
15:16:03.200,1,11434,18058.4644
15:16:03.203,2,33686,16121.6845
15:16:03.216,0,27437,8044.1587
15:16:03.228,1,11445,18044.3250
15:16:03.234,2,33698,16126.0801
15:16:03.261,0,27445,8046.9437
15:16:03.271,2,33708,16122.5607
15:16:03.272,1,11456,18041.2019
15:16:03.302,0,27454,8047.2999
