wall_time,cam_index,decoder_ms
15:16:05.791,0,10959.5363
15:16:05.797,1,1926.1370
15:16:05.801,2,3875.6638
15:16:05.824,0,10970.0966
15:16:05.840,1,1928.6487
15:16:05.840,2,3885.9650
15:16:05.865,0,10970.3553
15:16:05.874,1,1917.8333
15:16:05.879,2,3890.0560
15:16:05.951,0,11013.2185
15:16:05.952,1,1959.0981
15:16:05.952,2,3912.2645
15:16:05.958,0,10989.8081
15:16:05.961,2,3888.1279
15:16:05.961,1,1931.0640
15:16:05.981,0,10965.0847
15:16:06.003,2,3885.4473
15:16:06.008,1,1915.8266
15:16:06.022,0,10958.0187
15:16:06.027,1,1900.8155
15:16:06.037,2,3889.3900
15:16:06.062,0,10966.1202
15:16:06.073,1,1927.0606
15:16:06.078,2,3884.7261
15:16:06.094,0,10964.3279
15:16:06.119,1,1922.8804
15:16:06.123,2,3884.0225
15:16:06.138,0,10965.7195
15:16:06.165,1,1924.0466
15:16:06.171,2,3884.8123
15:16:06.181,0,10967.3230
15:16:06.187,1,1888.5943
15:16:06.193,2,3885.2996
15:16:06.222,0,10966.6817
15:16:06.232,1,1922.5981
15:16:06.236,2,3882.7233
15:16:06.269,0,10945.6214
15:16:06.275,1,1918.0481
15:16:06.279,2,3881.0156
15:16:06.294,0,10966.8658
15:16:06.326,1,1917.6156
15:16:06.326,2,3891.2604
15:16:06.341,0,10970.1605
15:16:06.349,1,1913.9317
15:16:06.371,2,3902.5003
15:16:06.384,0,10966.7647
15:16:06.392,2,3861.3309
15:16:06.395,1,1925.6001
15:16:06.424,0,10839.2462
15:16:06.434,1,1896.9030
15:16:06.436,2,3865.8634
15:16:06.479,1,1891.3973
15:16:06.482,2,3886.9581
15:16:06.549,1,1935.6135
15:16:06.552,2,3924.9317
15:16:06.564,1,1884.7836
15:16:06.564,0,10958.9054
15:16:06.564,2,3867.4362
15:16:06.570,0,10935.8772
15:16:06.575,0,10937.5502
15:16:06.587,0,10926.8384
15:16:06.592,2,3880.6028
15:16:06.595,1,1912.7699
15:16:06.622,0,10896.6364
15:16:06.650,1,1924.4314
15:16:06.650,2,3896.2509
15:16:06.664,0,10933.8190
15:16:06.673,1,1921.7299
15:16:06.678,2,3891.1263
15:16:06.704,0,10967.7218
15:16:06.723,1,1935.5248
15:16:06.723,2,3877.2020
15:16:06.736,0,10960.5874
15:16:06.754,1,1923.5545
15:16:06.772,2,3871.3312
15:16:06.777,0,10944.5324
15:16:06.792,2,3877.7380
15:16:06.796,1,1903.4311
15:16:06.829,0,10973.4676
15:16:06.836,2,3879.1819
15:16:06.840,1,1925.3916
15:16:06.864,0,10953.1548
15:16:06.906,1,1960.7620
15:16:06.911,2,3919.1633
15:16:06.911,0,10983.6457
15:16:06.919,2,3884.1369
15:16:06.919,1,1909.8872
15:16:06.941,0,10969.7044
15:16:06.975,2,3884.4065
15:16:06.975,1,1943.7491
15:16:06.980,0,10966.8168
15:16:06.993,2,3870.8344
15:16:06.998,1,1905.0465
15:16:07.024,0,10942.4040
15:16:07.029,1,1910.8501
15:16:07.038,2,3883.3102
15:16:07.055,0,10959.8307
15:16:07.078,1,1909.3631
15:16:07.083,2,3880.6087
15:16:07.101,0,10967.5326
15:16:07.125,1,1934.6710
15:16:07.125,2,3890.6626
15:16:07.146,0,10965.7706
15:16:07.160,1,1919.4998
15:16:07.220,1,1948.2653
15:16:07.220,0,11004.9211
15:16:07.221,2,3949.4127
15:16:07.229,2,3912.4155
15:16:07.229,0,10974.8647
15:16:07.240,1,1916.8798
15:16:07.240,2,3843.3097
15:16:07.257,0,10960.6168
15:16:07.280,1,1926.8431
15:16:07.283,2,3882.9191
15:16:07.299,0,10971.4045
15:16:07.332,1,1928.5909
15:16:07.332,2,3906.0131
15:16:07.344,0,10944.0902
15:16:07.350,1,1926.3711
15:16:07.362,2,3628.4313
15:16:07.406,0,10990.7958
15:16:07.407,1,1728.4285
15:16:07.407,2,3654.8051
15:16:07.425,0,10840.7888
15:16:07.440,2,3684.9684
15:16:07.441,1,1741.7364
15:16:07.554,0,10950.5722
15:16:07.557,0,10949.8638
15:16:07.612,0,10999.6596
15:16:07.615,2,3853.9138
15:16:07.618,2,3832.2206
15:16:07.630,2,3784.5485
15:16:07.630,0,10972.9951
15:16:07.636,0,10938.8026
15:16:07.637,2,3739.1715
15:16:07.642,2,3726.1025
15:16:07.646,1,1941.8321
15:16:07.650,1,1935.4089
15:16:07.655,1,1901.4699
15:16:07.672,0,10917.0661
15:16:07.684,1,1892.1832
15:16:07.714,0,10939.0758
15:16:07.714,2,3758.6851
15:16:07.726,2,3733.2555
15:16:07.726,1,1890.3261
15:16:07.736,0,10921.3617
15:16:07.750,1,1880.4452
15:16:07.767,2,3732.7884
15:16:07.782,0,10892.5644
15:16:07.796,1,1847.7664
15:16:07.802,2,3709.2845
15:16:07.825,0,10927.5755
15:16:07.836,1,1883.5890
15:16:07.840,2,3713.9043
15:16:07.865,0,10898.4661
15:16:07.883,1,1880.0401
15:16:07.883,2,3728.0469
15:16:07.915,1,1890.7438
15:16:07.915,0,10942.8152
15:16:07.920,2,3730.8466
15:16:07.939,0,10922.9094
15:16:07.973,1,1904.1871
15:16:07.974,2,3731.8194
15:16:07.979,0,10923.5971
15:16:08.002,1,1887.0078
15:16:08.002,2,3703.7458
15:16:08.024,0,10917.9701
15:16:08.050,2,3731.4826
15:16:08.055,1,1893.0873
15:16:08.065,0,10936.1159
15:16:08.071,1,1888.9395
15:16:08.077,2,3719.1309
15:16:08.113,0,10922.9047
15:16:08.125,1,1896.5301
15:16:08.133,2,3724.7789
15:16:08.158,0,10942.7872
15:16:08.164,2,3729.1154
15:16:08.164,1,1894.2512
15:16:08.185,0,10930.0049
15:16:08.193,2,3718.2862
15:16:08.214,1,1892.9325
15:16:08.233,0,10923.6028
15:16:08.233,1,1887.9988
15:16:08.240,2,3699.8691
15:16:08.283,0,10942.0822
15:16:08.283,1,1891.9284
15:16:08.284,2,3696.8260
15:16:08.302,0,10919.0797
15:16:08.342,2,3743.2651
15:16:08.342,1,1911.2423
15:16:08.342,0,10898.0249
15:16:08.357,2,3677.9403
15:16:08.371,1,1895.2988
15:16:08.384,0,10821.7796
15:16:08.396,1,1852.5106
15:16:08.399,2,3715.7325
15:16:08.433,0,10843.3732
15:16:08.510,2,3784.2115
15:16:08.510,1,1951.3219
15:16:08.518,1,1926.6318
15:16:08.532,2,3784.3582
15:16:08.549,2,3752.7215
15:16:08.588,1,1942.5073
15:16:08.613,1,1943.8859
15:16:08.624,2,3790.0582
15:16:08.627,0,11032.6955
15:16:08.631,1,1912.0688
15:16:08.631,2,3734.5422
15:16:08.635,0,10993.2382
15:16:08.639,1,1888.2924
15:16:08.642,0,10978.6254
15:16:08.647,0,10967.4448
15:16:08.649,2,3738.5598
15:16:08.655,0,10959.5649
15:16:08.680,0,10944.9562
15:16:08.685,1,1892.5605
15:16:08.685,2,3733.3150
15:16:08.707,0,10930.1419
15:16:08.736,1,1899.5562
15:16:08.736,2,3727.0501
15:16:08.740,0,10931.1738
