wall_time,cam_index,pipeline_ms
11:31:56.154,2,14036.5735
11:31:56.154,1,14023.0893
11:31:56.190,1,14052.6022
11:31:56.194,2,14071.8957
11:31:56.268,2,14137.3682
11:31:56.269,1,14089.1660
11:31:56.277,2,14138.2123
11:31:56.277,1,14091.8495
11:31:56.331,1,14031.6274
11:31:56.331,2,14147.1318
11:31:56.353,1,14048.0506
11:31:56.356,2,14056.2819
11:31:56.401,1,14086.7094
11:31:56.401,2,14097.0576
11:31:56.424,1,14058.0454
11:31:56.517,2,14205.9557
11:31:56.520,1,14138.0734
11:31:56.525,2,14158.6195
11:31:56.528,1,14049.4574
11:31:56.530,2,14063.6674
11:31:56.581,2,14102.8207
11:31:56.582,1,14097.4103
11:31:56.589,1,14016.8988
11:31:56.596,2,14111.6302
11:31:56.692,2,14119.4279
11:31:56.697,2,14119.3745
11:31:56.698,1,14119.6262
11:31:56.704,1,14118.9548
11:31:56.710,1,14077.5143
11:31:56.750,2,14164.1058
11:31:56.759,1,14103.4196
11:31:56.762,2,14129.0937
11:31:56.823,2,14163.3914
11:31:56.823,1,14074.8182
11:31:56.897,2,14148.1010
11:31:56.903,2,14148.0512
11:31:56.913,1,14157.5719
11:31:56.917,1,14107.2050
11:31:56.920,2,14109.7450
11:31:56.923,1,13943.0454
11:31:56.969,2,13982.2177
11:31:56.969,1,13977.1056
11:31:56.985,1,13989.0558
11:31:57.030,2,14028.0790
11:31:57.031,1,14029.2275
11:31:57.038,2,14032.6505
11:31:57.105,1,14096.8647
11:31:57.105,2,14094.2498
11:31:57.114,1,14068.0614
11:31:57.114,2,14068.8344
11:31:57.215,2,14147.1791
11:31:57.218,1,14154.7862
11:31:57.222,2,14104.4974
11:31:57.225,1,14107.2312
11:31:57.236,1,14091.2589
11:31:57.274,2,14129.0300
11:31:57.281,1,14048.7267
11:31:57.281,2,14050.2190
11:31:57.305,1,14065.3374
11:31:57.389,2,14154.0037
11:31:57.396,1,14109.0725
