wall_time,cam,rtp_seq,pipeline_ms
12:57:47.414,2,12750,0.427
12:57:47.422,0,35937,42.418
12:57:47.422,1,27342,0.905
12:57:47.455,2,12763,0.609
12:57:47.463,1,27353,0.634
12:57:47.464,0,35949,42.471
12:57:47.495,1,27363,0.795
12:57:47.495,0,35960,31.656
12:57:47.496,2,12775,0.411
12:57:47.527,2,12788,0.535
12:57:47.540,1,27376,1.537
12:57:47.541,0,35971,45.308
12:57:47.572,2,12801,0.431
12:57:47.581,1,27387,0.567
12:57:47.582,0,35982,41.688
12:57:47.614,2,12814,0.362
12:57:47.623,1,27399,0.635
12:57:47.624,0,35993,42.144
12:57:47.656,0,36004,32.225
12:57:47.656,2,12827,0.457
12:57:47.658,1,27412,0.688
12:57:47.688,2,12840,0.437
12:57:47.701,1,27427,0.323
12:57:47.728,0,36118,72.992
12:57:47.732,2,12852,0.298
12:57:47.741,1,27439,0.195
12:57:47.751,0,36130,23.469
12:57:47.774,2,12865,0.283
12:57:47.781,0,36142,30.901
12:57:47.783,1,27452,0.216
12:57:47.815,1,27466,0.246
12:57:47.816,2,12877,0.328
12:57:47.822,0,36153,41.027
12:57:47.847,2,12890,0.339
12:57:47.861,1,27480,0.404
12:57:47.862,0,36164,41.099
12:57:47.892,2,12903,0.414
12:57:47.901,1,27493,0.386
12:57:47.904,0,36175,42.236
12:57:47.934,2,12916,0.427
12:57:47.936,0,36186,31.921
12:57:47.944,1,27507,0.401
12:57:47.975,1,27518,0.319
12:57:47.976,2,12929,0.579
12:57:47.980,0,36198,44.963
12:57:48.007,2,12943,0.340
12:57:48.021,1,27532,0.331
12:57:48.022,0,36209,42.107
12:57:48.052,2,12956,0.336
12:57:48.062,1,27544,0.292
12:57:48.064,0,36218,42.427
12:57:48.094,2,12969,0.449
12:57:48.095,0,36228,32.438
12:57:48.104,1,27555,0.280
12:57:48.135,1,27569,0.464
12:57:48.136,2,12981,0.436
12:57:48.140,0,36239,44.740
12:57:48.167,2,12993,0.465
12:57:48.181,1,27583,0.246
12:57:48.182,0,36250,42.451
12:57:48.212,2,13005,0.526
12:57:48.221,1,27595,0.360
12:57:48.223,0,36261,41.448
12:57:48.254,2,13017,0.514
12:57:48.265,0,36271,42.540
12:57:48.265,1,27610,0.912
12:57:48.296,0,36281,31.685
12:57:48.296,2,13029,0.320
12:57:48.298,1,27625,0.263
12:57:48.327,2,13043,0.286
12:57:48.340,0,36292,44.781
12:57:48.341,1,27639,0.224
12:57:48.373,2,13057,0.310
12:57:48.382,1,27655,0.335
12:57:48.383,0,36303,42.913
12:57:48.414,2,13070,0.311
12:57:48.424,1,27669,0.332
12:57:48.425,0,36315,42.178
12:57:48.456,1,27684,0.541
12:57:48.457,0,36326,32.503
12:57:48.457,2,13082,0.181
12:57:48.488,2,13094,0.181
12:57:48.500,0,36336,44.027
12:57:48.501,1,27699,0.242
12:57:48.533,2,13107,0.370
12:57:48.542,1,27715,0.349
12:57:48.543,0,36346,42.731
12:57:48.574,2,13119,0.190
12:57:48.584,1,27730,0.343
12:57:48.585,0,36357,42.789
12:57:48.616,0,36369,31.782
12:57:48.616,2,13132,0.328
12:57:48.618,1,27746,0.313
12:57:48.647,2,13145,0.180
12:57:48.661,0,36379,45.244
12:57:48.661,1,27761,0.269
12:57:48.725,2,13273,1.695
12:57:48.734,1,27879,1.255
12:57:48.742,0,36504,82.000
12:57:48.766,2,13285,32.980
12:57:48.774,2,13298,0.386
12:57:48.788,1,27904,47.003
12:57:48.815,2,13312,0.567
12:57:48.815,1,27917,31.539
12:57:48.856,0,36537,115.902
12:57:48.858,2,13325,1.252
12:57:48.861,0,36548,114.755
12:57:48.861,1,27929,46.420
12:57:48.888,2,13338,0.425
12:57:48.903,0,36560,115.552
12:57:48.903,1,27943,41.832
12:57:48.933,2,13352,0.521
12:57:48.943,0,36571,115.708
12:57:48.944,1,27955,41.897
12:57:48.975,2,13364,0.903
12:57:48.975,1,27966,31.758
12:57:48.984,0,36581,124.110
12:57:49.017,0,36591,115.453
12:57:49.017,2,13377,1.075
12:57:49.019,1,27977,44.345
12:57:49.048,2,13389,0.366
12:57:49.061,0,36602,118.527
12:57:49.061,1,27988,42.237
12:57:49.094,2,13401,0.714
12:57:49.102,0,36613,118.368
12:57:49.103,1,27999,42.083
12:57:49.135,2,13414,0.496
12:57:49.135,1,28010,31.791
12:57:49.144,0,36624,128.302
12:57:49.176,0,36633,115.233
12:57:49.176,2,13425,0.440
12:57:49.179,1,28020,44.448
12:57:49.208,2,13437,0.379
12:57:49.220,0,36643,118.139
12:57:49.221,1,28031,42.250
12:57:49.253,2,13449,0.663
12:57:49.262,0,36653,117.972
12:57:49.264,1,28044,42.797
12:57:49.295,2,13463,0.514
12:57:49.296,1,28057,32.112
12:57:49.303,0,36664,127.359
12:57:49.336,2,13474,0.308
12:57:49.340,1,28070,45.155
12:57:49.344,0,36674,124.386
12:57:49.368,2,13487,0.239
12:57:49.376,0,36685,114.522
12:57:49.382,1,28085,42.528
12:57:49.412,2,13499,0.315
12:57:49.422,0,36697,118.971
12:57:49.424,1,28098,42.252
12:57:49.454,2,13512,0.215
12:57:49.456,1,28112,32.064
12:57:49.462,0,36707,118.235
12:57:49.497,2,13526,0.331
12:57:49.500,1,28124,44.689
12:57:49.504,0,36717,128.019
12:57:49.528,2,13539,0.224
