wall_time,cam,rtp_seq,pipeline_ms,total_ms
11:29:44.409,1,32499,0.277,0.218
11:29:44.409,1,32500,0.277,0.226
11:29:44.409,1,32501,0.277,0.234
11:29:44.409,1,32502,0.277,0.242
11:29:44.409,1,32503,0.277,0.252
11:29:44.409,1,32504,0.277,0.261
11:29:44.409,1,32505,0.269,0.269
11:29:44.413,2,32301,0.291,0.141
11:29:44.413,2,32302,0.291,0.155
11:29:44.413,2,32303,0.291,0.164
11:29:44.413,2,32304,0.291,0.173
11:29:44.413,2,32305,0.291,0.182
11:29:44.413,2,32306,0.291,0.190
11:29:44.413,2,32307,0.291,0.199
11:29:44.413,2,32308,0.291,0.207
11:29:44.413,2,32309,0.291,0.215
11:29:44.413,2,32310,0.291,0.225
11:29:44.413,2,32311,0.232,0.232
11:29:44.432,0,32011,0.241,0.045
11:29:44.432,0,32012,0.241,0.061
11:29:44.432,0,32013,0.241,0.071
11:29:44.432,0,32014,0.241,0.080
11:29:44.432,0,32015,0.241,0.088
11:29:44.432,0,32016,0.241,0.096
11:29:44.432,0,32017,0.241,0.104
11:29:44.433,0,32018,0.241,0.113
11:29:44.433,0,32019,0.241,0.122
11:29:44.433,0,32020,0.241,0.131
11:29:44.433,0,32021,0.141,0.141
11:29:44.454,1,32506,0.269,0.175
11:29:44.454,1,32507,0.269,0.207
11:29:44.454,1,32508,0.269,0.224
11:29:44.454,1,32509,0.269,0.239
11:29:44.454,1,32510,0.269,0.253
11:29:44.454,1,32511,0.269,0.266
11:29:44.454,1,32512,0.269,0.280
11:29:44.454,1,32513,0.269,0.293
11:29:44.454,1,32514,0.269,0.305
11:29:44.454,1,32515,0.269,0.318
11:29:44.454,1,32516,0.269,0.331
11:29:44.454,1,32517,0.269,0.345
11:29:44.454,1,32518,0.269,0.358
11:29:44.454,1,32519,0.269,0.368
11:29:44.454,1,32520,0.377,0.377
11:29:44.455,2,32312,0.232,0.157
11:29:44.455,2,32313,0.232,0.174
11:29:44.455,2,32314,0.232,0.185
11:29:44.455,2,32315,0.232,0.193
11:29:44.455,2,32316,0.232,0.201
11:29:44.455,2,32317,0.232,0.209
11:29:44.455,2,32318,0.232,0.218
11:29:44.455,2,32319,0.232,0.226
11:29:44.455,2,32320,0.232,0.234
11:29:44.455,2,32321,0.232,0.242
11:29:44.455,2,32322,0.232,0.251
11:29:44.455,2,32323,0.232,0.259
11:29:44.455,2,32324,0.267,0.267
11:29:44.497,0,32023,0.141,0.075
11:29:44.497,0,32024,0.141,0.158
11:29:44.497,0,32025,0.141,0.175
11:29:44.497,0,32026,0.141,0.185
11:29:44.497,0,32027,0.141,0.195
11:29:44.497,0,32028,0.141,0.205
11:29:44.497,0,32029,0.141,0.215
11:29:44.497,0,32030,0.141,0.225
11:29:44.497,0,32031,0.141,0.236
11:29:44.497,0,32032,0.141,0.245
11:29:44.497,0,32033,0.141,0.255
11:29:44.497,0,32034,0.141,0.265
11:29:44.497,0,32035,0.141,0.275
11:29:44.497,0,32036,0.141,0.285
11:29:44.497,0,32037,0.141,0.294
11:29:44.497,0,32038,0.141,0.304
11:29:44.497,0,32039,0.141,0.313
11:29:44.497,0,32040,0.141,0.323
11:29:44.497,0,32041,0.141,0.338
11:29:44.497,0,32042,0.141,0.349
11:29:44.497,0,32043,0.141,0.359
11:29:44.497,0,32044,0.141,0.368
11:29:44.497,0,32045,0.141,0.378
11:29:44.497,0,32046,0.141,0.389
11:29:44.497,0,32047,0.141,0.400
11:29:44.497,0,32048,0.141,0.411
11:29:44.497,0,32049,0.141,0.421
11:29:44.497,0,32050,0.141,0.431
11:29:44.497,0,32051,0.141,0.442
11:29:44.497,0,32052,0.141,0.452
11:29:44.497,0,32053,0.141,0.463
11:29:44.497,0,32054,0.141,0.474
11:29:44.497,0,32055,0.141,0.484
11:29:44.497,0,32056,0.141,0.494
11:29:44.497,0,32057,0.141,0.504
11:29:44.497,0,32058,0.141,0.515
11:29:44.497,0,32059,0.141,0.533
11:29:44.497,0,32060,0.141,0.545
11:29:44.497,0,32061,0.141,0.556
11:29:44.497,0,32062,0.141,0.566
11:29:44.497,0,32063,0.141,0.576
11:29:44.497,0,32064,0.141,0.586
11:29:44.497,0,32065,0.141,0.595
11:29:44.497,0,32066,0.141,0.606
11:29:44.497,0,32067,0.141,0.616
11:29:44.497,0,32068,0.141,0.626
11:29:44.497,0,32069,0.141,0.636
11:29:44.497,0,32070,0.141,0.646
11:29:44.497,0,32071,0.141,0.656
11:29:44.497,0,32072,0.141,0.666
11:29:44.497,0,32073,0.141,0.676
11:29:44.497,0,32074,0.141,0.687
11:29:44.497,0,32075,0.141,0.697
11:29:44.497,0,32076,0.141,0.708
11:29:44.497,0,32077,0.141,0.717
11:29:44.497,0,32078,0.141,0.727
11:29:44.497,0,32079,0.141,0.737
11:29:44.497,0,32080,0.141,0.747
11:29:44.497,0,32081,0.141,0.757
11:29:44.497,0,32082,0.141,0.767
11:29:44.497,0,32083,0.141,0.776
11:29:44.497,0,32084,0.141,0.786
11:29:44.497,0,32085,0.141,0.796
11:29:44.497,0,32086,0.141,0.807
11:29:44.497,0,32087,0.141,0.817
11:29:44.497,0,32088,0.141,0.826
11:29:44.498,0,32089,0.141,0.836
11:29:44.498,0,32090,0.141,0.847
11:29:44.498,0,32091,0.141,0.857
11:29:44.498,0,32092,0.141,0.867
11:29:44.498,0,32093,0.141,0.878
11:29:44.498,0,32094,0.141,0.887
11:29:44.498,0,32095,0.141,0.897
11:29:44.498,0,32096,0.141,0.907
11:29:44.498,0,32097,0.141,0.917
11:29:44.498,0,32098,0.141,0.927
11:29:44.498,0,32099,0.141,0.937
11:29:44.498,0,32100,0.141,0.947
11:29:44.498,0,32101,0.141,0.956
11:29:44.498,0,32102,0.141,0.966
11:29:44.498,0,32103,0.141,0.976
11:29:44.498,0,32104,0.141,0.986
11:29:44.498,0,32105,0.141,0.996
11:29:44.498,0,32106,0.141,1.006
11:29:44.498,0,32107,1.016,1.016
11:29:44.508,1,32522,0.377,0.067
11:29:44.509,1,32523,0.377,0.164
11:29:44.509,1,32524,0.377,0.181
11:29:44.509,1,32525,0.377,0.192
11:29:44.509,1,32526,0.377,0.201
11:29:44.509,1,32527,0.377,0.210
11:29:44.509,1,32528,0.377,0.218
11:29:44.509,1,32529,0.377,0.226
11:29:44.509,1,32530,0.377,0.235
11:29:44.509,1,32531,0.377,0.244
11:29:44.509,1,32532,0.377,0.252
11:29:44.509,1,32533,0.377,0.261
11:29:44.509,1,32534,0.377,0.269
11:29:44.509,1,32535,0.377,0.277
11:29:44.509,1,32536,0.377,0.285
11:29:44.509,1,32537,0.377,0.294
11:29:44.509,1,32538,0.377,0.302
11:29:44.509,1,32539,0.377,0.310
11:29:44.509,1,32540,0.377,0.318
11:29:44.509,1,32541,0.377,0.326
11:29:44.509,1,32542,0.377,0.334
11:29:44.509,1,32543,0.377,0.342
11:29:44.509,1,32544,0.377,0.350
11:29:44.509,1,32545,0.377,0.359
11:29:44.509,1,32546,0.377,0.367
11:29:44.509,1,32547,0.377,0.376
11:29:44.509,1,32548,0.377,0.386
11:29:44.509,1,32549,0.377,0.395
11:29:44.509,1,32550,0.377,0.405
11:29:44.509,1,32551,0.377,0.414
11:29:44.509,1,32552,0.377,0.423
11:29:44.509,1,32553,0.377,0.432
11:29:44.509,1,32554,0.377,0.441
11:29:44.509,1,32555,0.377,0.449
11:29:44.509,1,32556,0.377,0.458
11:29:44.509,1,32557,0.377,0.467
11:29:44.509,1,32558,0.377,0.477
11:29:44.509,1,32559,0.377,0.485
11:29:44.509,1,32560,0.377,0.495
11:29:44.509,1,32561,0.377,0.503
11:29:44.509,1,32562,0.377,0.512
11:29:44.509,1,32563,0.377,0.521
11:29:44.509,1,32564,0.377,0.530
11:29:44.509,1,32565,0.377,0.539
11:29:44.509,1,32566,0.377,0.548
11:29:44.509,1,32567,0.377,0.557
11:29:44.509,1,32568,0.377,0.566
11:29:44.509,1,32569,0.377,0.575
11:29:44.509,1,32570,0.377,0.584
11:29:44.509,1,32571,0.377,0.593
11:29:44.509,1,32572,0.377,0.601
11:29:44.509,1,32573,0.377,0.610
11:29:44.509,1,32574,0.377,0.618
11:29:44.509,1,32575,0.377,0.627
11:29:44.509,1,32576,0.377,0.635
11:29:44.509,1,32577,0.377,0.644
11:29:44.509,1,32578,0.377,0.653
11:29:44.509,1,32579,0.377,0.662
11:29:44.509,1,32580,0.377,0.671
11:29:44.509,1,32581,0.377,0.680
11:29:44.509,1,32582,0.377,0.689
11:29:44.509,1,32583,0.377,0.697
11:29:44.509,1,32584,0.377,0.706
11:29:44.509,1,32585,0.377,0.715
11:29:44.509,1,32586,0.377,0.725
11:29:44.509,1,32587,0.377,0.734
11:29:44.509,1,32588,0.377,0.742
11:29:44.509,1,32589,0.377,0.751
11:29:44.509,1,32590,0.377,0.760
11:29:44.509,1,32591,0.773,0.773
11:29:44.520,2,32326,0.267,0.140
11:29:44.520,2,32327,0.267,0.249
11:29:44.520,2,32328,0.267,0.264
11:29:44.520,2,32329,0.267,0.274
11:29:44.520,2,32330,0.267,0.283
11:29:44.520,2,32331,0.267,0.292
11:29:44.520,2,32332,0.267,0.301
11:29:44.520,2,32333,0.267,0.309
11:29:44.520,2,32334,0.267,0.317
11:29:44.520,2,32335,0.267,0.325
11:29:44.520,2,32336,0.267,0.333
11:29:44.520,2,32337,0.267,0.341
11:29:44.520,2,32338,0.267,0.350
11:29:44.520,2,32339,0.267,0.358
11:29:44.520,2,32340,0.267,0.366
11:29:44.520,2,32341,0.267,0.375
11:29:44.520,2,32342,0.267,0.383
11:29:44.520,2,32343,0.267,0.391
11:29:44.520,2,32344,0.267,0.399
11:29:44.520,2,32345,0.267,0.407
11:29:44.520,2,32346,0.267,0.415
11:29:44.520,2,32347,0.267,0.423
11:29:44.520,2,32348,0.267,0.432
11:29:44.520,2,32349,0.267,0.440
11:29:44.520,2,32350,0.267,0.448
11:29:44.520,2,32351,0.267,0.457
11:29:44.520,2,32352,0.267,0.465
11:29:44.520,2,32353,0.267,0.473
11:29:44.520,2,32354,0.267,0.481
11:29:44.520,2,32355,0.267,0.490
11:29:44.520,2,32356,0.267,0.498
11:29:44.520,2,32357,0.267,0.506
11:29:44.520,2,32358,0.267,0.514
11:29:44.520,2,32359,0.267,0.522
11:29:44.520,2,32360,0.267,0.531
11:29:44.520,2,32361,0.267,0.539
11:29:44.520,2,32362,0.267,0.547
11:29:44.520,2,32363,0.267,0.555
11:29:44.520,2,32364,0.267,0.564
11:29:44.520,2,32365,0.267,0.573
11:29:44.520,2,32366,0.267,0.581
11:29:44.520,2,32367,0.267,0.589
11:29:44.520,2,32368,0.267,0.597
11:29:44.520,2,32369,0.267,0.605
11:29:44.520,2,32370,0.267,0.613
11:29:44.520,2,32371,0.267,0.622
11:29:44.520,2,32372,0.267,0.630
11:29:44.520,2,32373,0.267,0.638
11:29:44.520,2,32374,0.267,0.647
11:29:44.520,2,32375,0.267,0.655
11:29:44.520,2,32376,0.267,0.663
11:29:44.520,2,32377,0.267,0.672
11:29:44.520,2,32378,0.267,0.680
11:29:44.520,2,32379,0.267,0.688
11:29:44.520,2,32380,0.267,0.696
11:29:44.520,2,32381,0.267,0.704
11:29:44.520,2,32382,0.267,0.712
11:29:44.520,2,32383,0.267,0.720
11:29:44.520,2,32384,0.267,0.729
11:29:44.520,2,32385,0.267,0.736
11:29:44.520,2,32386,0.267,0.745
11:29:44.520,2,32387,0.267,0.753
11:29:44.520,2,32388,0.267,0.761
11:29:44.520,2,32389,0.267,0.770
11:29:44.520,2,32390,0.267,0.778
11:29:44.520,2,32391,0.267,0.786
11:29:44.520,2,32392,0.267,0.794
11:29:44.520,2,32393,0.267,0.808
11:29:44.520,2,32394,0.267,0.817
11:29:44.520,2,32395,0.267,0.825
11:29:44.520,2,32396,0.267,0.833
11:29:44.520,2,32397,0.267,0.842
11:29:44.520,2,32398,0.267,0.850
11:29:44.520,2,32399,0.267,0.858
11:29:44.520,2,32400,0.267,0.867
11:29:44.520,2,32401,0.267,0.875
11:29:44.520,2,32402,0.267,0.883
11:29:44.520,2,32403,0.267,0.891
11:29:44.520,2,32404,0.267,0.899
11:29:44.520,2,32405,0.267,0.906
11:29:44.520,2,32406,0.267,0.914
11:29:44.520,2,32407,0.267,0.923
11:29:44.520,2,32408,0.267,0.931
11:29:44.520,2,32409,0.267,0.939
11:29:44.520,2,32410,0.267,0.947
11:29:44.520,2,32411,0.267,0.956
11:29:44.520,2,32412,0.267,0.964
11:29:44.520,2,32413,0.267,0.972
11:29:44.520,2,32414,0.267,0.980
11:29:44.520,2,32415,0.267,0.988
11:29:44.520,2,32416,0.267,0.997
11:29:44.520,2,32417,0.267,1.005
11:29:44.520,2,32418,0.267,1.013
11:29:44.520,2,32419,0.267,1.021
