wall_time,cam,rtp_seq,passthrough_ms,dropped_packets
16:43:09.205,1,49575,1.612,0
16:43:09.206,0,32677,0.902,0
16:43:09.206,0,32678,0.917,0
16:43:09.206,0,32679,0.844,0
16:43:09.206,1,49577,1.456,1
16:43:09.207,0,32680,0.603,0
16:43:09.207,1,49578,1.599,0
16:43:09.207,0,32681,0.451,0
16:43:09.207,1,49579,1.488,0
16:43:09.207,0,32682,0.217,0
16:43:09.208,2,38002,0.101,0
16:43:09.208,2,38003,0.129,0
16:43:09.208,2,38004,0.172,0
16:43:09.208,2,38005,0.136,0
16:43:09.208,2,38006,0.241,0
16:43:09.209,2,38007,0.210,0
16:43:09.209,2,38008,0.144,0
16:43:09.241,1,49580,0.466,0
16:43:09.242,1,49581,0.606,0
16:43:09.242,1,49582,0.347,0
16:43:09.242,1,49583,0.368,0
16:43:09.242,1,49584,0.344,0
16:43:09.243,0,32683,0.498,0
16:43:09.243,1,49585,1.018,0
16:43:09.244,0,32684,0.660,0
16:43:09.244,0,32685,0.430,0
16:43:09.244,1,49586,1.647,0
16:43:09.244,0,32686,0.265,0
16:43:09.245,1,49587,1.718,0
16:43:09.245,0,32687,0.351,0
16:43:09.245,0,32688,0.434,0
16:43:09.245,0,32689,0.440,0
16:43:09.246,0,32690,0.452,0
16:43:09.246,0,32691,0.479,0
16:43:09.246,0,32692,0.461,0
16:43:09.246,0,32693,0.349,0
16:43:09.247,0,32694,0.248,0
16:43:09.247,0,32695,0.416,0
16:43:09.247,0,32696,0.546,0
16:43:09.248,0,32697,0.356,0
16:43:09.248,2,38009,0.270,0
16:43:09.248,0,32698,0.663,0
16:43:09.249,0,32699,0.653,0
16:43:09.249,2,38010,0.656,0
16:43:09.249,0,32700,0.630,0
16:43:09.249,2,38011,0.502,0
16:43:09.249,2,38012,0.079,0
16:43:09.249,2,38013,0.128,0
16:43:09.249,2,38014,0.193,0
16:43:09.250,2,38015,0.133,0
16:43:09.275,0,32701,0.433,0
16:43:09.276,0,32702,0.697,0
16:43:09.276,0,32703,0.617,0
16:43:09.276,0,32704,0.461,0
16:43:09.277,0,32705,0.300,0
16:43:09.277,0,32706,0.493,0
16:43:09.277,0,32707,0.469,0
16:43:09.278,0,32708,0.488,0
16:43:09.278,0,32709,0.552,0
16:43:09.279,0,32710,0.728,0
16:43:09.279,0,32711,0.672,0
16:43:09.279,0,32712,0.688,0
16:43:09.279,0,32713,0.642,0
16:43:09.280,0,32714,0.439,0
16:43:09.280,0,32715,0.472,0
16:43:09.280,0,32716,0.589,0
16:43:09.281,0,32717,0.511,0
16:43:09.281,0,32718,0.445,0
16:43:09.281,0,32719,0.261,0
16:43:09.287,1,49588,0.360,0
16:43:09.287,1,49589,0.480,0
16:43:09.288,1,49590,0.411,0
16:43:09.288,1,49591,0.411,0
16:43:09.288,1,49592,0.420,0
16:43:09.289,1,49593,0.415,0
16:43:09.290,1,49594,0.998,0
16:43:09.290,1,49595,1.364,0
16:43:09.290,1,49597,0.708,1
16:43:09.291,1,49598,0.572,0
16:43:09.291,1,49599,0.498,0
16:43:09.291,1,49600,0.481,0
16:43:09.291,1,49601,0.582,0
16:43:09.292,1,49604,0.418,2
16:43:09.292,1,49607,0.301,2
16:43:09.292,1,49608,0.388,0
16:43:09.292,1,49609,0.396,0
16:43:09.292,1,49610,0.404,0
16:43:09.292,1,49611,0.343,0
