wall_time,cam_index,full_ms,dropped
11:48:04.922,1,3.5921,2
11:48:04.925,2,2.8249,1
11:48:04.926,1,3.4788,2
11:48:04.946,1,3.1402,2
11:48:04.977,0,2.7523,0
11:48:04.977,2,3.6725,0
11:48:04.989,1,2.7873,1
11:48:05.001,2,3.4276,1
11:48:05.031,1,3.3457,2
11:48:05.246,0,0.0678,23
11:48:05.247,2,15.6394,23
11:48:05.248,0,0.0578,0
11:48:05.251,2,0.0816,1
11:48:05.263,2,3.8591,1
11:48:05.263,0,0.0761,0
11:48:05.266,2,3.3502,0
11:48:05.269,0,2.6249,1
11:48:05.284,0,5.1727,0
11:48:05.295,1,18.1351,28
11:48:05.298,1,0.0806,4
11:48:05.301,1,0.0595,4
11:48:05.303,1,2.5676,0
11:48:05.306,1,0.0571,3
11:48:05.308,1,0.0567,2
11:48:05.314,2,3.0132,1
11:48:05.334,0,2.7430,1
11:48:05.358,2,2.8033,2
11:48:05.368,0,2.4519,1
11:48:05.388,1,3.1639,0
11:48:05.415,0,2.9183,0
11:48:05.422,1,2.9325,2
11:48:05.445,2,3.4742,1
11:48:05.453,0,2.1869,1
11:48:05.466,1,5.0854,0
11:48:05.492,2,3.6241,0
11:48:05.495,0,2.8864,0
11:48:05.507,1,3.0594,0
11:48:05.516,2,3.0494,1
11:48:05.549,0,1.9253,1
11:48:05.554,1,3.1614,1
11:48:05.560,2,3.0384,2
11:48:05.568,0,2.7779,0
11:48:05.583,1,2.5088,1
11:48:05.602,2,3.1041,0
11:48:05.611,0,2.6442,0
11:48:05.656,0,2.4224,1
11:48:05.665,1,2.9153,1
11:48:05.679,2,3.3377,0
11:48:05.715,0,2.8095,1
11:48:05.716,1,3.2286,2
11:48:05.722,2,3.6143,1
11:48:05.739,0,2.7394,0
11:48:05.745,1,3.4081,0
11:48:05.751,2,2.9715,0
11:48:05.801,0,2.0032,0
11:48:05.803,2,3.2461,1
11:48:05.812,0,2.5375,1
11:48:05.840,1,6.5937,1
11:48:05.840,2,2.6937,0
11:48:05.853,0,2.4672,1
11:48:05.879,2,3.2574,1
11:48:05.895,0,2.4453,1
11:48:05.915,2,3.6500,0
11:48:05.958,1,3.1192,0
11:48:05.960,2,2.5076,1
11:48:05.975,0,2.0000,0
11:48:06.009,1,2.4658,1
11:48:06.017,0,2.8769,0
11:48:06.018,2,3.0133,1
11:48:06.028,1,3.4819,1
11:48:06.040,2,3.3123,0
11:48:06.064,1,3.0233,0
11:48:06.071,2,3.0866,1
11:48:06.142,1,5.6615,0
11:48:06.180,2,41.3851,0
11:48:06.182,1,3.2312,2
11:48:06.190,2,3.6777,1
11:48:06.191,0,0.0842,28
11:48:06.193,0,0.0666,0
11:48:06.194,1,6.3044,1
11:48:06.196,0,0.0553,0
11:48:06.222,0,2.4398,2
11:48:06.231,0,3.4143,0
11:48:06.231,1,3.1918,0
11:48:06.239,2,2.8560,2
11:48:06.285,1,3.2952,1
11:48:06.292,2,3.2638,1
11:48:06.298,0,2.5560,0
11:48:06.307,1,2.4144,0
11:48:06.352,0,2.7437,1
11:48:06.353,1,3.5490,1
