12967,1771851192.043034031,1771851192.019816198,-23.2179
12968,1771851192.043045790,1771851192.019816244,-23.2296
12969,1771851192.043051294,1771851192.019816291,-23.2348
12970,1771851192.043061922,1771851192.019816337,-23.2456
12971,1771851192.043067430,1771851192.019816383,-23.2511
12972,1771851192.043080721,1771851192.019816429,-23.2644
12973,1771851192.043085950,1771851192.019917520,-23.1686
12974,1771851192.043090674,1771851192.019917644,-23.1729
12975,1771851192.043102324,1771851192.019917704,-23.1845
12976,1771851192.043107423,1771851192.019917751,-23.1898
12977,1771851192.043112427,1771851192.019917796,-23.1948
12978,1771851192.043124116,1771851192.019917843,-23.2065
12979,1771851192.043129518,1771851192.019917889,-23.2115
12980,1771851192.043134120,1771851192.019917937,-23.2162
12981,1771851192.043146235,1771851192.019982887,-23.1633
12982,1771851192.043151708,1771851192.019983053,-23.1686
12983,1771851192.043156183,1771851192.019983099,-23.1731
12984,1771851192.078901359,1771851192.061783799,-17.1175
12985,1771851192.078960299,1771851192.061784753,-17.1754
12986,1771851192.078966545,1771851192.061784827,-17.1819
12987,1771851192.078977458,1771851192.061784897,-17.1924
12988,1771851192.078990581,1771851192.061784967,-17.2057
12989,1771851192.079002831,1771851192.061785034,-17.2179
12990,1771851192.079008960,1771851192.061785105,-17.2238
12991,1771851192.079021515,1771851192.061785172,-17.2362
12992,1771851192.079027190,1771851192.061895292,-17.1318
12993,1771851192.079032130,1771851192.061895393,-17.1368
12994,1771851192.079043844,1771851192.061895462,-17.1485
12995,1771851192.079048915,1771851192.061895532,-17.1533
12996,1771851192.079053771,1771851192.061895601,-17.1583
12997,1771851192.079065105,1771851192.061895671,-17.1695
12998,1771851192.079070186,1771851192.061895741,-17.1742
12999,1771851192.079075185,1771851192.061895809,-17.1793
13000,1771851192.079086102,1771851192.061930559,-17.1554
13001,1771851192.079090831,1771851192.061931002,-17.1599
13002,1771851192.110035774,1771851192.088407950,-21.6277
13003,1771851192.110060824,1771851192.088408967,-21.652
13004,1771851192.110068534,1771851192.088409026,-21.6596
13005,1771851192.110081478,1771851192.088409078,-21.6722
13006,1771851192.110086476,1771851192.088409132,-21.6773
13007,1771851192.110098625,1771851192.088409186,-21.6894
13008,1771851192.110103870,1771851192.088409238,-21.6947
13009,1771851192.110114609,1771851192.088409292,-21.7054
13010,1771851192.110120176,1771851192.088491345,-21.6286
13011,1771851192.110134933,1771851192.088491677,-21.6432
13012,1771851192.110139792,1771851192.088491741,-21.6482
13013,1771851192.110144796,1771851192.088491795,-21.6532
13014,1771851192.110155074,1771851192.088491850,-21.6632
13015,1771851192.110161242,1771851192.088491903,-21.6694
13016,1771851192.143078460,1771851192.125861429,-17.2172
13017,1771851192.143142763,1771851192.125862474,-17.2803
13018,1771851192.143149905,1771851192.125862588,-17.2873
13019,1771851192.143162689,1771851192.125862705,-17.3001
13020,1771851192.143168880,1771851192.125862823,-17.3061
13021,1771851192.143180035,1771851192.125862938,-17.3173
13022,1771851192.143186717,1771851192.125863050,-17.3237
13023,1771851192.143200618,1771851192.125863167,-17.3376
13024,1771851192.143206723,1771851192.126014974,-17.1919
13025,1771851192.143212133,1771851192.126015178,-17.1969
13026,1771851192.143226259,1771851192.126015294,-17.211
13027,1771851192.143232770,1771851192.126015413,-17.2174
13028,1771851192.143238353,1771851192.126015528,-17.2229
13029,1771851192.143252903,1771851192.126015647,-17.2372
13030,1771851192.143258746,1771851192.126015788,-17.2429
13031,1771851192.143263281,1771851192.126015903,-17.2474
13032,1771851192.143268965,1771851192.126085304,-17.1838
13033,1771851192.143282468,1771851192.126085925,-17.1964
13034,1771851192.143289239,1771851192.126086079,-17.2033
13035,1771851192.143294614,1771851192.126086195,-17.2083
13036,1771851192.178707903,1771851192.155627236,-23.0806
13037,1771851192.178761885,1771851192.155627895,-23.134
13038,1771851192.178770403,1771851192.155627971,-23.1423
13039,1771851192.178778564,1771851192.155628049,-23.1507
13040,1771851192.178793248,1771851192.155628124,-23.165
13041,1771851192.178799934,1771851192.155628201,-23.1717
13042,1771851192.178810909,1771851192.155628279,-23.1826
13043,1771851192.178816547,1771851192.155628356,-23.1881
13044,1771851192.178827341,1771851192.155725679,-23.1016
13045,1771851192.178832459,1771851192.155726127,-23.1063
13046,1771851192.178842447,1771851192.155726248,-23.1164
13047,1771851192.178848054,1771851192.155752648,-23.0954
13048,1771851192.210657276,1771851192.190888712,-19.7687
13049,1771851192.210693058,1771851192.190889236,-19.804
13050,1771851192.210699123,1771851192.190889321,-19.8097
13051,1771851192.210710225,1771851192.190889410,-19.8209
13052,1771851192.210715325,1771851192.190889497,-19.8257
13053,1771851192.210725635,1771851192.190889581,-19.8359
13054,1771851192.210731036,1771851192.190889671,-19.8414
13055,1771851192.210743229,1771851192.190889757,-19.8534
13056,1771851192.210748299,1771851192.191025816,-19.7225
13057,1771851192.210752841,1771851192.191026004,-19.7268
13058,1771851192.210764307,1771851192.191026088,-19.7384
13059,1771851192.210769119,1771851192.191026174,-19.743
13060,1771851192.210774384,1771851192.191026264,-19.7482
13061,1771851192.210786084,1771851192.191026350,-19.7597
13062,1771851192.210791003,1771851192.191026434,-19.7647
13063,1771851192.210796206,1771851192.191026522,-19.7697
13064,1771851192.210807953,1771851192.191077551,-19.7306
13065,1771851192.210813642,1771851192.191078173,-19.7356
13066,1771851192.210818546,1771851192.191078257,-19.7403
13067,1771851192.242886739,1771851192.220668088,-22.2187
13068,1771851192.242947064,1771851192.220669014,-22.2781
13069,1771851192.242954185,1771851192.220669082,-22.2852
13070,1771851192.242965522,1771851192.220669152,-22.2962
13071,1771851192.242971172,1771851192.220669219,-22.3019
13072,1771851192.242994320,1771851192.220669291,-22.325
13073,1771851192.243000276,1771851192.220669360,-22.331
13074,1771851192.243012755,1771851192.220669430,-22.3432
13075,1771851192.243018537,1771851192.220821901,-22.1968
13076,1771851192.243024008,1771851192.220822074,-22.202
13077,1771851192.243035960,1771851192.220822173,-22.2139
13078,1771851192.243041072,1771851192.220822243,-22.2187
13079,1771851192.243045707,1771851192.220822312,-22.2235
13080,1771851192.243057483,1771851192.220822382,-22.2352
13081,1771851192.243062618,1771851192.220822452,-22.2404
