wall_time,iface,tx_mbps,rx_mbps
15:49:52,enx0c3796ba2d67,0.092,4.247
15:49:53,enp0s31f6,0.100,4.774
15:49:53,enx0c3796ba2d6a,0.109,5.015
15:49:53,enx0c3796ba2d67,0.093,4.170
15:49:54,enp0s31f6,0.072,3.635
15:49:54,enx0c3796ba2d6a,0.076,3.442
15:49:54,enx0c3796ba2d67,0.093,4.191
15:49:55,enp0s31f6,0.099,4.678
15:49:55,enx0c3796ba2d6a,0.108,4.950
15:49:55,enx0c3796ba2d67,0.091,4.128
15:49:56,enp0s31f6,0.074,3.631
15:49:56,enx0c3796ba2d6a,0.071,3.379
15:49:56,enx0c3796ba2d67,0.093,4.133
15:49:57,enp0s31f6,0.103,4.951
15:49:57,enx0c3796ba2d6a,0.106,4.869
15:49:57,enx0c3796ba2d67,0.096,4.280
15:49:58,enp0s31f6,0.074,3.665
15:49:58,enx0c3796ba2d6a,0.074,3.445
15:49:58,enx0c3796ba2d67,0.100,4.419
15:49:59,enp0s31f6,0.106,5.108
15:49:59,enx0c3796ba2d6a,0.115,5.340
15:49:59,enx0c3796ba2d67,0.097,4.303
15:50:00,enp0s31f6,0.068,3.527
15:50:00,enx0c3796ba2d6a,0.073,3.303
15:50:00,enx0c3796ba2d67,0.095,4.354
15:50:01,enp0s31f6,0.106,5.200
15:50:01,enx0c3796ba2d6a,0.116,5.330
15:50:01,enx0c3796ba2d67,0.095,4.336
15:50:02,enp0s31f6,0.066,3.444
15:50:02,enx0c3796ba2d6a,0.072,3.307
15:50:02,enx0c3796ba2d67,0.091,4.208
15:50:03,enp0s31f6,0.107,4.980
15:50:03,enx0c3796ba2d6a,0.117,5.334
15:50:03,enx0c3796ba2d67,0.097,4.246
15:50:04,enp0s31f6,0.071,3.485
15:50:04,enx0c3796ba2d6a,0.066,3.254
15:50:04,enx0c3796ba2d67,0.088,3.881
15:50:05,enp0s31f6,0.094,4.602
15:50:05,enx0c3796ba2d6a,0.104,4.829
15:50:05,enx0c3796ba2d67,0.090,4.043
15:50:06,enp0s31f6,0.073,3.586
15:50:06,enx0c3796ba2d6a,0.072,3.378
15:50:06,enx0c3796ba2d67,0.087,4.106
15:50:07,enp0s31f6,0.101,4.682
15:50:07,enx0c3796ba2d6a,0.107,4.802
15:50:07,enx0c3796ba2d67,0.090,4.180
15:50:08,enp0s31f6,0.074,3.637
15:50:08,enx0c3796ba2d6a,0.073,3.453
15:50:08,enx0c3796ba2d67,0.089,4.189
15:50:09,enp0s31f6,0.105,4.921
15:50:09,enx0c3796ba2d6a,0.113,5.067
15:50:09,enx0c3796ba2d67,0.096,4.394
