time_ns,gst_buffer_pts_ns,frame_seq,stage
39789035063736,30604723193,371,post_depay
39789040602376,30611386743,372,post_depay
39789046749829,30617534466,373,post_depay
39789223009208,30743347504,374,post_depay
39789231549601,30802390046,375,post_depay
39789238456561,30809354166,376,post_depay
39789365930013,30815372671,377,post_depay
39789371809718,30942467961,378,post_depay
39789386999113,30948450975,379,post_depay
39789393177168,30963671702,380,post_depay
39789400636080,30970550184,381,post_depay
39789524224405,31093942785,382,post_depay
39789562797165,31101908126,383,post_depay
39789570139437,31140562153,384,post_depay
39789578178386,31148619158,385,post_depay
39789676239413,31156203539,386,post_depay
39789697696544,31253115476,387,post_depay
39789706395070,31276827360,388,post_depay
39789713409629,31283936013,389,post_depay
39789841507012,31290269054,390,post_depay
39789850450750,31421171973,391,post_depay
39789856782618,31427499878,392,post_depay
39789863155150,31433970347,393,post_depay
39789934869455,31440495703,394,post_depay
39789944801983,31515558448,395,post_depay
39789951560209,31522361644,396,post_depay
39789981129637,31529229764,397,post_depay
39789991384913,31551910362,398,post_decode
39790341740401,31573585626,399,post_depay
39790370599728,31912347264,400,post_decode
39790374799246,31945642554,401,post_depay
39790382576631,31945773173,402,post_decode
39790467078185,31957089525,403,post_depay
39790477630430,32037662155,404,post_decode
39790483916737,32054014604,405,post_depay
39790495668410,32054134053,406,post_decode
39790684592214,32080172213,407,post_depay
39790695806803,32254747937,408,post_decode
39790730526658,32269952724,409,post_depay
39790742922259,32301112486,410,post_decode
39790747135130,32317774571,411,post_depay
39790758468649,32317891957,412,post_decode
39790762570162,32333241179,413,post_depay
39790771584516,32333340533,414,post_decode
39790774758378,32345437426,415,post_depay
39790783618385,32345549349,416,post_decode
39790883420504,32445620635,417,post_depay
39790894014499,32454142415,418,post_decode
39790897408495,32468111548,419,post_depay
39790906727522,32468199634,420,post_decode
39790910214848,32480889456,421,post_depay
39790919200110,32480990551,422,post_decode
39790924883964,32493655578,423,post_depay
39790934021670,32495595897,424,post_decode
39791141557040,32508546941,425,post_depay
39791152838695,32712200204,426,post_decode
39791159416974,32727175729,427,post_depay
39791170008897,32730222658,428,post_decode
39791173697001,32744432750,429,post_depay
39791184703058,32744554879,430,post_decode
39791189004286,32759610745,431,post_depay
39791199336866,32759805084,432,post_decode
39791286884611,32773953854,433,post_depay
39791300474639,32857717319,434,post_decode
39791308085096,32878787800,435,post_depay
39791320078409,32878922270,436,post_decode
39791331034590,32901468157,437,post_depay
39791347877654,32901778004,438,post_decode
39791447064619,33017339605,439,post_depay
39791458023522,33017801116,440,post_decode
39791461916434,33032619745,441,post_depay
39791472970631,33032738196,442,post_decode
39791476830763,33047573250,443,post_depay
39791487529236,33047683561,444,post_decode
39791579941931,33061641834,445,post_depay
39791602556869,33150163519,446,post_decode
39791607022479,33177135134,447,post_depay
39791617705448,33177264884,448,post_decode
39791621521435,33191592203,449,post_depay
39791632759327,33191763951,450,post_decode
39791636898786,33207014377,451,post_depay
39791647740363,33207141623,452,post_decode
