wall_time,cam_index,pipeline_ms
10:25:39.839,0,6050.0843
10:25:39.849,2,6119.3638
10:25:39.881,0,6027.0067
10:25:39.881,1,6076.5418
10:25:39.894,2,6107.9433
10:25:39.902,1,6046.7956
10:25:39.912,0,6043.2993
10:25:39.954,2,6149.8362
10:25:39.955,1,6028.3117
10:25:39.955,0,6028.0285
10:25:39.978,1,6043.4442
10:25:39.981,2,6126.3754
10:25:40.015,0,6072.6845
10:25:40.025,1,6044.1552
10:25:40.026,2,6098.7540
10:25:40.055,2,6121.2179
10:25:40.120,1,6107.8851
10:25:40.123,1,6038.6114
10:25:40.128,0,6133.5327
10:25:40.129,2,6147.7167
10:25:40.132,0,6033.6028
10:25:40.166,1,6061.5271
10:25:40.166,2,6156.8910
10:25:40.172,2,6104.9151
10:25:40.172,0,6072.8759
10:25:40.179,1,6037.1269
10:25:40.194,0,6054.5951
10:25:40.234,2,6133.9323
10:25:40.234,1,6061.8053
10:25:40.240,0,6088.4763
10:25:40.253,1,6037.9812
10:25:40.256,2,6114.7421
10:25:40.305,1,6031.2659
10:25:40.305,0,6095.7587
10:25:40.314,2,6143.9442
10:25:40.314,0,6091.2583
10:25:40.331,2,6120.0012
10:25:40.337,1,6047.3867
10:25:40.370,0,6096.0274
10:25:40.379,2,6107.4682
10:25:40.383,1,6044.9439
10:25:40.394,0,6060.0413
10:25:40.441,1,6067.1877
10:25:40.448,0,6097.0813
10:25:40.449,2,6162.5918
10:25:40.455,2,6117.3647
10:25:40.458,1,6044.5606
10:25:40.477,0,6066.8349
10:25:40.509,2,6137.4276
10:25:40.509,1,6064.1952
10:25:40.515,0,6088.3043
10:25:40.534,2,6120.5672
10:25:40.540,1,6047.6077
10:25:40.576,0,6096.8878
10:25:40.576,1,6016.7503
10:25:40.583,2,6138.9473
10:25:40.593,0,6081.7081
10:25:40.641,2,6152.9695
10:25:40.641,1,6064.0339
10:25:40.645,0,6085.8002
10:25:40.648,2,6094.8867
