wall_time,cam_index,decoder_ms
15:24:43.286,0,24263.6804
15:24:43.325,2,4.0255
15:24:43.325,1,23542.2249
15:24:43.330,0,24300.4746
15:24:43.356,1,23542.6011
15:24:43.358,2,5.0487
15:24:43.370,0,24338.0753
15:24:43.387,1,23492.7609
15:24:43.405,2,4.4041
15:24:43.414,0,24351.8196
15:24:43.428,1,23519.9578
15:24:43.428,2,2.9162
15:24:43.457,0,24383.2702
15:24:43.469,1,23532.0251
15:24:43.469,2,3.6262
15:24:43.492,0,24329.7384
15:24:43.525,1,23497.4408
15:24:43.527,2,3.7539
15:24:43.530,0,24365.4531
15:24:43.547,1,23516.0394
15:24:43.552,2,3.0642
15:24:43.581,0,24371.9847
15:24:43.585,2,4.1233
15:24:43.590,1,23529.5336
15:24:43.611,0,24340.5379
15:24:43.627,1,23523.8913
15:24:43.630,2,4.3508
15:24:43.674,0,24398.4382
15:24:43.674,1,23538.7973
15:24:43.674,2,3.3382
15:24:43.686,0,24366.2843
15:24:43.710,1,23511.8807
15:24:43.712,2,4.9299
15:24:43.739,0,24349.6070
15:24:43.746,2,3.7960
15:24:43.762,1,23553.7631
15:24:43.773,0,24366.6218
15:24:43.788,2,3.2859
15:24:43.789,1,23529.7298
15:24:43.832,1,23529.8027
15:24:43.837,2,3.3940
15:24:43.889,1,23542.3839
15:24:43.935,2,3.6269
15:24:43.940,1,23559.2901
15:24:43.954,2,3.1432
15:24:43.957,1,23544.1105
15:24:43.959,2,5.0643
15:24:43.965,0,24516.2812
15:24:43.968,0,24489.9963
15:24:43.972,0,24451.2896
15:24:44.008,0,24449.0866
15:24:44.016,2,4.4470
15:24:44.016,1,23553.3349
15:24:44.022,0,24422.8943
15:24:44.022,1,23518.8619
15:24:44.031,2,3.8413
15:24:44.055,0,24412.2307
15:24:44.066,1,23508.1886
15:24:44.075,2,3.0803
15:24:44.090,0,24392.4662
15:24:44.112,1,23523.0020
15:24:44.115,2,5.5242
15:24:44.135,0,24415.7236
15:24:44.186,0,24415.1473
15:24:44.187,1,23565.3353
15:24:44.187,2,4.8283
15:24:44.194,1,23542.5594
15:24:44.194,2,5.0629
15:24:44.215,0,24313.6915
15:24:44.250,1,23535.5204
15:24:44.251,2,3.9444
15:24:44.255,0,24336.8349
15:24:44.270,2,4.1967
15:24:44.273,1,23531.7586
15:24:44.352,0,24431.5341
15:24:44.353,2,4.2636
15:24:44.356,1,23560.0658
15:24:44.359,0,24432.8746
15:24:44.359,2,5.7492
15:24:44.362,1,23341.7807
15:24:44.375,0,24412.2387
15:24:44.409,2,3.9575
15:24:44.409,1,23366.8848
15:24:44.413,0,24384.7440
15:24:44.437,2,3.1999
15:24:44.437,1,23391.8621
15:24:44.458,0,24413.1476
15:24:44.470,1,23421.2067
15:24:44.470,2,4.0579
15:24:44.487,0,24403.4356
15:24:44.515,1,23445.0538
15:24:44.515,2,3.7112
15:24:44.528,0,24413.5025
15:24:44.546,1,23444.7175
15:24:44.566,2,3.2868
15:24:44.572,0,24385.1069
15:24:44.588,2,3.1574
15:24:44.588,1,23444.6093
15:24:44.623,0,24421.4088
15:24:44.631,1,23439.3773
15:24:44.631,2,3.0770
15:24:44.665,0,24424.1461
15:24:44.668,1,23458.3839
15:24:44.671,2,4.7962
15:24:44.692,0,24390.2712
15:24:44.719,1,23408.5442
15:24:44.721,2,3.0712
15:24:44.729,0,24416.7250
15:24:44.745,2,3.5300
15:24:44.750,1,23392.6344
15:24:44.777,0,24416.8836
15:24:44.789,1,23422.3761
15:24:44.955,2,19.9405
15:24:44.959,2,3.1138
15:24:44.988,2,3.7102
15:24:45.010,2,3.5411
15:24:45.012,0,24609.8042
15:24:45.016,0,24564.8790
15:24:45.020,0,24539.1630
15:24:45.023,2,3.4192
15:24:45.025,0,24511.6827
15:24:45.029,0,24469.4663
15:24:45.037,1,23667.5286
15:24:45.041,1,23622.1708
15:24:45.046,1,23572.6896
15:24:45.049,2,5.3236
15:24:45.052,1,23555.0729
15:24:45.052,0,24435.0255
15:24:45.076,1,23544.1917
15:24:45.078,2,3.1727
15:24:45.101,0,24453.6370
15:24:45.115,1,23533.5393
15:24:45.116,2,3.6655
15:24:45.130,0,24415.3347
15:24:45.143,1,23527.0487
15:24:45.147,2,4.3807
15:24:45.173,0,24454.8230
15:24:45.192,1,23530.2494
15:24:45.199,2,3.9398
15:24:45.215,0,24419.5335
15:24:45.245,1,23556.5070
15:24:45.250,2,3.4128
15:24:45.251,0,24255.1564
15:24:45.269,1,23528.1114
15:24:45.275,2,4.2117
15:24:45.298,0,24300.1175
15:24:45.304,2,4.2092
15:24:45.310,1,23521.1755
15:24:45.336,0,24317.0424
15:24:45.356,1,23537.3184
15:24:45.356,2,3.9256
15:24:45.382,0,24355.0861
15:24:45.421,2,3.1177
15:24:45.423,1,23564.9117
15:24:45.427,0,24392.7923
15:24:45.428,1,23520.7221
15:24:45.436,2,3.2695
15:24:45.450,0,24399.0961
15:24:45.478,2,3.0080
15:24:45.481,1,23532.2334
15:24:45.494,0,24410.7197
15:24:45.522,1,23522.1909
15:24:45.522,2,3.3434
15:24:45.538,0,24411.8400
15:24:45.551,1,23542.8529
15:24:45.553,2,4.2155
15:24:45.612,0,24458.7213
15:24:45.612,1,23553.8169
15:24:45.612,2,4.0844
15:24:45.619,0,24420.2591
15:24:45.632,1,23520.4543
15:24:45.632,2,3.7836
15:24:45.648,0,24338.2619
15:24:45.661,1,23524.2174
15:24:45.685,2,3.2430
15:24:45.693,0,24335.8501
15:24:45.714,1,23545.1406
15:24:45.714,2,4.0346
15:24:45.754,1,23537.2057
15:24:45.754,0,24394.9036
15:24:45.755,2,4.4548
15:24:45.782,0,24412.5694
15:24:45.794,2,3.1488
15:24:45.805,1,23547.7700
15:24:45.829,2,3.5958
15:24:45.829,1,23528.1777
15:24:45.886,1,23556.3549
15:24:45.907,2,3.0812
15:24:45.965,0,24546.4845
15:24:45.968,0,24526.1501
15:24:45.974,1,23597.0091
15:24:45.974,2,3.1514
15:24:46.004,0,24528.9131
15:24:46.006,2,5.1957
15:24:46.009,1,23574.8982
15:24:46.012,0,24488.0731
15:24:46.012,2,6.1067
15:24:46.016,1,23556.4456
