wall_time,cam,rtp_seq,pipeline_ms
12:52:02.564,2,19076,45.517
12:52:02.568,0,22292,160.453
12:52:02.573,1,15145,87.730
12:52:02.604,2,19088,41.121
12:52:02.612,0,22303,160.144
12:52:02.615,1,15161,84.033
12:52:02.647,2,19100,43.016
12:52:02.649,1,15175,76.617
12:52:02.654,0,22312,160.084
12:52:02.679,2,19114,32.320
12:52:02.691,1,15188,76.740
12:52:02.696,0,22323,160.281
12:52:02.726,2,19128,47.632
12:52:02.728,0,22333,160.348
12:52:02.734,1,15203,84.549
12:52:02.766,1,15220,74.647
12:52:02.767,2,19139,41.151
12:52:02.772,0,22342,159.623
12:52:02.836,2,19270,69.744
12:52:02.841,1,15354,108.135
12:52:02.846,0,22471,192.862
12:52:02.847,2,19283,12.152
12:52:02.882,1,15365,117.189
12:52:02.889,2,19297,42.023
12:52:02.891,1,15375,50.639
12:52:02.896,0,22493,200.425
12:52:02.920,2,19310,31.584
12:52:02.932,1,15387,71.669
12:52:02.937,0,22505,209.573
12:52:02.965,2,19323,45.097
12:52:02.973,1,15398,82.182
12:52:02.977,0,22514,205.925
12:52:03.006,2,19336,41.386
12:52:03.009,0,22525,163.615
12:52:03.015,1,15409,83.155
12:52:03.045,1,15420,73.186
12:52:03.048,2,19348,42.516
12:52:03.053,0,22534,198.342
12:52:03.078,2,19360,31.247
12:52:03.090,1,15431,76.053
12:52:03.094,0,22543,198.535
12:52:03.124,2,19373,46.217
12:52:03.132,1,15442,87.623
12:52:03.136,0,22554,199.799
12:52:03.164,2,19384,40.739
12:52:03.168,0,22564,190.747
12:52:03.175,1,15455,85.276
12:52:03.205,1,15467,73.574
12:52:03.209,2,19399,44.733
12:52:03.213,0,22575,204.661
12:52:03.239,2,19412,31.297
12:52:03.251,1,15478,76.939
12:52:03.254,0,22586,201.386
12:52:03.284,2,19424,45.335
12:52:03.292,1,15489,87.065
12:52:03.295,0,22597,201.108
12:52:03.325,2,19437,41.747
12:52:03.334,1,15502,83.627
12:52:03.337,0,22608,200.704
12:52:03.366,1,15515,73.960
12:52:03.368,0,22618,200.518
12:52:03.368,2,19451,43.307
12:52:03.399,2,19464,30.876
12:52:03.411,1,15528,77.052
12:52:03.413,0,22630,200.906
12:52:03.443,2,19475,44.347
12:52:03.452,1,15539,86.891
12:52:03.455,0,22640,200.893
12:52:03.485,2,19486,42.393
12:52:03.494,1,15550,83.931
12:52:03.496,0,22649,202.045
12:52:03.526,1,15562,74.155
12:52:03.529,2,19499,44.801
12:52:03.529,0,22659,193.341
12:52:03.559,2,19511,31.571
12:52:03.571,1,15576,77.010
12:52:03.572,0,22670,204.998
12:52:03.604,2,19525,45.062
12:52:03.612,1,15589,87.165
12:52:03.614,0,22680,202.286
12:52:03.646,2,19537,42.490
12:52:03.655,1,15602,84.141
