wall_time,cam_index,rtp_seq,network_ms
11:23:37.804,2,56822,359.7881
11:23:37.813,0,49413,414.1732
11:23:37.817,0,49424,371.9074
11:23:37.860,0,49432,333.5853
11:23:37.860,2,56835,384.6453
11:23:37.860,1,42245,465.3449
11:23:37.873,1,42256,428.4707
11:23:37.879,2,56846,352.4320
11:23:37.879,0,49441,348.7223
11:23:37.917,1,42268,448.3291
11:23:37.928,2,56858,368.3962
11:23:37.928,0,49451,369.0773
11:23:37.953,2,56869,343.9448
11:23:37.953,0,49461,344.9397
11:23:37.996,1,42280,469.8404
11:23:37.997,2,56883,334.5369
11:23:38.001,0,49471,337.6081
11:23:38.001,1,42293,443.5303
11:23:38.062,2,56896,382.3667
11:23:38.063,1,42306,455.6612
11:23:38.063,0,49481,391.4937
11:23:38.075,1,42318,413.4608
11:23:38.079,2,56908,349.8382
11:23:38.080,0,49611,283.7507
11:23:38.134,0,49622,320.7607
11:23:38.134,2,56920,337.6429
11:23:38.134,1,42329,467.2875
11:23:38.148,1,42341,418.5693
11:23:38.152,2,56933,347.8442
11:23:38.157,0,49633,340.2545
11:23:38.200,2,56945,339.9926
11:23:38.200,1,42353,407.6139
11:23:38.200,0,49644,340.6398
11:23:38.281,1,42364,477.5981
11:23:38.282,2,56959,402.8032
11:23:38.282,0,49654,402.8080
11:23:38.289,1,42378,428.7798
11:23:38.289,2,56972,361.2758
11:23:38.289,0,49666,361.1861
11:23:38.310,1,42389,436.6524
11:23:38.313,2,56984,360.8685
11:23:38.341,0,49677,388.0461
11:23:38.353,1,42403,436.1069
11:23:38.359,0,49688,358.9328
11:23:38.359,2,56996,362.6612
11:23:38.419,2,57009,356.9642
11:23:38.420,1,42416,423.2569
11:23:38.420,0,49699,357.2404
11:23:38.435,1,42429,434.6914
11:23:38.445,0,49707,364.7711
11:23:38.445,2,57020,366.0241
11:23:38.491,2,57033,357.7727
11:23:38.509,1,42444,445.6910
11:23:38.509,0,49718,375.0605
11:23:38.514,0,49729,356.5781
11:23:38.515,1,42456,439.6307
11:23:38.520,2,57046,368.2036
11:23:38.568,1,42467,434.0045
11:23:38.568,2,57059,368.6696
11:23:38.568,0,49738,368.1689
11:23:38.595,1,42478,446.9516
11:23:38.623,0,49747,340.5923
11:23:38.623,2,57070,340.8325
11:23:38.631,2,57082,342.1345
11:23:38.638,1,42490,438.2288
11:23:38.641,0,49758,352.1860
11:23:38.687,0,49767,345.8327
11:23:38.687,1,42504,406.2547
11:23:38.688,2,57095,375.0418
11:23:38.868,1,42515,579.1535
11:23:38.905,1,42527,595.5953
11:23:38.911,0,49777,551.5358
11:23:38.913,1,42539,559.9997
11:23:38.918,2,57108,558.0997
11:23:38.928,0,49787,507.3454
11:23:38.928,1,42552,508.2338
11:23:38.932,0,49797,487.7889
11:23:38.937,1,42566,501.6265
11:23:38.937,2,57121,518.7871
11:23:38.940,0,49807,431.3511
11:23:38.944,1,42578,436.0292
11:23:38.945,2,57135,499.7237
11:23:38.948,0,49817,433.9098
11:23:38.951,2,57147,459.4236
11:23:38.956,0,49826,387.6030
11:23:38.978,0,49834,355.3859
11:23:38.978,1,42590,463.1329
11:23:38.979,2,57158,459.2330
11:23:38.999,2,57170,431.3627
11:23:39.000,1,42602,431.7553
11:23:39.000,0,49844,358.7014
11:23:39.055,2,57183,431.9371
11:23:39.056,1,42615,460.8932
11:23:39.056,0,49854,368.7391
11:23:39.079,1,42627,441.0604
11:23:39.082,2,57194,450.1568
11:23:39.082,0,49981,171.2544
11:23:39.120,1,42640,432.9167
11:23:39.123,0,49993,195.2320
11:23:39.129,2,57207,440.6842
11:23:39.153,2,57335,235.4902
11:23:39.154,1,42779,285.7867
11:23:39.184,0,50004,251.9707
11:23:39.200,1,42792,295.3113
11:23:39.202,2,57363,264.5610
11:23:39.202,0,50017,262.0823
11:23:39.258,2,57377,313.4845
11:23:39.259,1,42806,346.1596
11:23:39.259,0,50027,311.6768
11:23:39.275,1,42819,347.2503
11:23:39.280,2,57389,328.9379
11:23:39.280,0,50037,324.0540
11:23:39.320,2,57413,340.9702
11:23:39.324,1,42830,386.8840
11:23:39.324,0,50047,346.2775
11:23:39.403,1,42842,458.9261
11:23:39.405,2,57426,405.2579
11:23:39.405,0,50056,405.0684
11:23:39.407,1,42854,429.3663
11:23:39.411,0,50066,355.8813
11:23:39.412,2,57438,357.2297
11:23:39.437,0,50076,354.6094
11:23:39.437,1,42866,437.3404
11:23:39.442,2,57450,360.4679
11:23:39.475,1,42878,419.8048
11:23:39.475,2,57463,346.3342
11:23:39.478,0,50087,354.6677
11:23:39.535,2,57475,382.0147
11:23:39.535,1,42890,456.1963
11:23:39.536,0,50097,351.7364
11:23:39.564,1,42904,444.1997
11:23:39.565,2,57489,362.7402
11:23:39.565,0,50107,363.2749
11:23:39.611,1,42916,457.4705
11:23:39.612,2,57501,353.5980
11:23:39.612,0,50116,352.9802
11:23:39.636,0,50127,355.7742
11:23:39.636,1,42930,435.6400
11:23:39.640,2,57512,360.6721
11:23:39.684,2,57525,364.1657
11:23:39.687,1,42941,428.4973
11:23:39.687,0,50137,363.4252
11:23:39.749,1,42952,474.4578
11:23:39.749,2,57537,344.9425
11:23:39.755,1,42965,431.0966
11:23:39.778,2,57550,365.9154
11:23:39.821,0,50147,416.1985
11:23:39.826,1,42978,423.0682
11:23:39.827,0,50156,415.1975
11:23:39.827,2,57562,384.7821
11:23:39.834,1,42990,426.9683
11:23:39.834,2,57574,358.9923
11:23:39.847,0,50166,410.0947
11:23:39.885,0,50178,407.5924
11:23:39.885,1,43004,448.4682
11:23:39.885,2,57586,350.6242
11:23:39.926,1,43015,451.1706
11:23:39.927,0,50190,390.5293
11:23:39.928,2,57597,363.9366
11:23:39.976,1,43028,441.0548
11:23:39.983,0,50201,417.2418
11:23:39.983,2,57611,371.3501
11:23:39.995,2,57625,354.8562
11:23:40.000,0,50212,388.0316
11:23:40.000,1,43040,435.9409
11:23:40.043,2,57637,358.3709
11:23:40.043,1,43053,431.8276
11:23:40.043,0,50221,407.5743
11:23:40.070,1,43066,434.0419
11:23:40.106,2,57649,356.9126
11:23:40.108,0,50230,420.7356
