wall_time,cam_index,full_ms,dropped
15:51:12.289,2,4.5555,0
15:51:12.309,0,4.5540,0
15:51:12.348,2,4.8038,0
15:51:12.354,0,4.5699,0
15:51:12.371,2,4.3478,0
15:51:12.396,0,3.2318,0
15:51:12.433,2,3.4996,0
15:51:12.439,0,3.3049,0
15:51:12.444,2,3.2387,0
15:51:12.519,2,3.5205,0
15:51:12.569,2,4.4953,0
15:51:12.573,0,16.2453,0
15:51:12.574,2,4.7804,0
15:51:12.577,0,3.3185,0
15:51:12.582,0,4.3043,0
15:51:12.606,0,4.1236,0
15:51:12.606,2,4.5284,0
15:51:12.634,0,3.1823,0
15:51:12.653,2,3.6412,0
15:51:12.676,0,3.0936,0
15:51:12.717,0,3.8482,0
15:51:12.723,2,4.3265,1
15:51:12.759,0,3.7878,0
15:51:12.770,2,3.1447,0
15:51:12.793,0,3.0781,0
15:51:12.811,2,3.1857,0
15:51:12.836,0,2.9578,0
15:51:12.850,2,4.5105,0
15:51:12.874,0,3.2340,0
15:51:12.891,2,4.0926,0
15:51:12.925,0,3.1371,0
15:51:12.927,2,4.7429,0
15:51:12.956,0,3.0390,0
15:51:12.969,2,3.3671,0
15:51:12.991,0,3.9622,0
15:51:13.011,2,3.4818,0
15:51:13.037,0,3.6367,0
15:51:13.054,2,3.3519,0
15:51:13.079,0,3.4820,0
15:51:13.086,2,5.0325,0
15:51:13.120,0,2.8646,0
15:51:13.127,2,3.9758,0
15:51:13.150,0,3.9344,0
15:51:13.173,2,4.3295,0
15:51:13.201,0,3.5776,0
15:51:13.209,2,3.3131,0
15:51:13.234,0,3.1382,0
15:51:13.242,2,3.7413,0
15:51:13.277,0,3.6831,0
15:51:13.289,2,3.4445,0
15:51:13.318,0,3.0958,0
15:51:13.330,2,3.5858,0
15:51:13.372,0,3.7756,0
15:51:13.377,2,4.2462,0
15:51:13.394,0,3.0288,0
15:51:13.401,2,3.5961,0
15:51:13.422,1,3.2277,49
15:51:13.453,0,3.6922,0
15:51:13.453,2,3.6440,0
15:51:13.611,1,18.1862,0
15:51:13.614,1,3.3421,0
15:51:13.622,0,17.0622,0
15:51:13.626,0,3.1401,0
15:51:13.651,1,4.2387,0
15:51:13.655,0,4.8817,0
15:51:13.658,1,3.5332,0
15:51:13.661,0,5.7941,0
15:51:13.662,2,20.0864,0
15:51:13.666,1,5.8016,1
15:51:13.666,2,3.9867,0
15:51:13.671,0,8.8188,0
15:51:13.674,2,6.3125,0
15:51:13.678,2,4.4955,0
