wall_time,cam_index,rtp_seq,network_ms,dropped
15:50:08.959,1,31245,0.0268,118
15:50:08.970,0,22400,0.0183,112
15:50:08.977,2,30869,0.0161,121
15:50:08.988,1,31256,0.0353,118
15:50:09.002,0,22409,0.0206,112
15:50:09.019,2,30881,0.0201,121
15:50:09.040,1,31268,0.1107,118
15:50:09.047,0,22419,0.0599,112
15:50:09.063,2,30892,0.0188,121
15:50:09.076,1,31279,0.0183,118
15:50:09.091,0,22428,0.0195,112
15:50:09.097,2,30905,0.0291,121
15:50:09.121,1,31291,0.0166,118
15:50:09.132,0,22437,0.0390,112
15:50:09.139,2,30918,0.0209,121
15:50:09.159,1,31304,0.0177,118
15:50:09.171,0,22446,0.0183,112
15:50:09.177,2,30928,0.0351,121
15:50:09.191,1,31316,0.0158,118
15:50:09.205,0,22455,0.0187,112
15:50:09.222,2,30939,0.0191,121
15:50:09.233,1,31327,0.0379,118
15:50:09.244,0,22464,0.0164,112
15:50:09.255,2,30952,0.0201,121
15:50:09.275,1,31339,0.0187,118
15:50:09.300,0,22473,0.0217,112
15:50:09.302,2,30964,0.0349,121
15:50:09.321,1,31351,0.0179,118
15:50:09.332,0,22483,0.0205,112
15:50:09.345,2,30976,0.0349,121
15:50:09.351,1,31362,0.0446,118
15:50:09.375,0,22492,0.0331,112
15:50:09.387,2,30989,0.0359,121
15:50:09.397,1,31375,0.0204,118
15:50:09.405,0,22502,0.0184,112
15:50:09.411,2,31000,0.0369,121
15:50:09.560,1,31538,0.1615,118
15:50:09.578,1,31550,0.0979,118
15:50:09.581,0,22654,0.1295,112
15:50:09.600,2,31158,0.1417,121
15:50:09.601,0,22665,0.0181,112
15:50:09.602,1,31561,0.0380,118
15:50:09.605,0,22673,0.0263,112
15:50:09.607,1,31572,0.0202,118
15:50:09.611,0,22683,0.0457,112
15:50:09.615,1,31585,0.0441,118
15:50:09.619,0,22691,0.0211,112
15:50:09.621,2,31171,0.0211,121
15:50:09.628,2,31183,0.0398,121
15:50:09.633,2,31195,0.0201,121
15:50:09.638,2,31208,0.0179,121
15:50:09.638,1,31597,0.0155,118
15:50:09.645,0,22701,0.0399,112
15:50:09.661,2,31218,0.0207,121
15:50:09.681,1,31609,0.0191,118
15:50:09.687,0,22712,0.0179,112
15:50:09.707,2,31230,0.0392,121
15:50:09.748,1,31620,0.1138,118
15:50:09.749,0,22721,0.0640,112
15:50:09.749,2,31242,0.0353,121
15:50:09.755,1,31631,0.0584,118
15:50:09.775,0,22730,0.0196,112
15:50:09.776,2,31255,0.0410,121
15:50:09.796,1,31643,0.0226,118
15:50:09.803,0,22740,0.0156,112
15:50:09.822,2,31266,0.0172,121
15:50:09.841,1,31654,0.0174,118
15:50:09.847,0,22750,0.0164,112
15:50:09.859,2,31278,0.0379,121
15:50:09.871,1,31666,0.0168,118
15:50:09.889,0,22759,0.0177,112
15:50:09.902,2,31288,0.0386,121
15:50:09.915,1,31677,0.0178,118
15:50:09.931,0,22768,0.0295,112
15:50:09.943,2,31300,0.0192,121
15:50:09.957,1,31689,0.0452,118
15:50:09.963,0,22776,0.0391,112
15:50:09.983,2,31311,0.0359,121
15:50:09.999,1,31700,0.0182,118
15:50:10.005,0,22785,0.0156,112
15:50:10.026,2,31323,0.0301,121
15:50:10.028,1,31713,0.0351,118
15:50:10.049,0,22794,0.0198,112
15:50:10.061,2,31333,0.0357,121
15:50:10.076,1,31725,0.0361,118
15:50:10.092,0,22804,0.0322,112
15:50:10.096,2,31346,0.0693,121
15:50:10.117,1,31737,0.0178,118
15:50:10.133,0,22813,0.0199,112
15:50:10.139,2,31358,0.0162,121
15:50:10.159,1,31748,0.0196,118
15:50:10.165,0,22822,0.0229,112
15:50:10.180,2,31370,0.0209,121
15:50:10.191,1,31760,0.0248,118
15:50:10.207,0,22831,0.0189,112
15:50:10.226,2,31383,0.0275,121
15:50:10.238,1,31774,0.0201,118
15:50:10.250,0,22840,0.0192,112
15:50:10.257,2,31396,0.0365,121
15:50:10.276,1,31786,0.0219,118
15:50:10.293,0,22849,0.1007,112
15:50:10.299,2,31407,0.0452,121
15:50:10.317,1,31796,0.0198,118
15:50:10.331,0,22858,0.0183,112
15:50:10.337,2,31420,0.0376,121
15:50:10.349,1,31807,0.0203,118
15:50:10.362,0,22866,0.0164,112
15:50:10.389,2,31431,0.0920,121
15:50:10.397,1,31820,0.0604,118
15:50:10.409,0,22876,0.0194,112
15:50:10.415,2,31443,0.0288,121
15:50:10.437,1,31832,0.0390,118
15:50:10.462,2,31456,0.0404,121
15:50:10.479,1,31843,0.0231,118
15:50:10.533,0,23028,0.0933,112
15:50:10.541,2,31468,0.0871,121
15:50:10.541,1,31854,0.0386,118
15:50:10.550,0,23039,0.0337,112
15:50:10.554,2,31479,0.0895,121
15:50:10.554,0,23047,0.0177,112
15:50:10.555,1,31866,0.0430,118
15:50:10.571,0,23056,0.0352,112
15:50:10.575,2,31491,0.0227,121
15:50:10.598,1,31878,0.0213,118
15:50:10.615,0,23065,0.0342,112
15:50:10.619,2,31504,0.0222,121
15:50:10.639,1,31890,0.0207,118
15:50:10.645,0,23073,0.0375,112
15:50:10.663,2,31516,0.0269,121
15:50:10.674,1,31901,0.0205,118
15:50:10.689,0,23083,0.0189,112
15:50:10.707,2,31528,0.0195,121
15:50:10.719,1,31912,0.0238,118
15:50:10.732,0,23092,0.0322,112
15:50:10.736,2,31541,0.0250,121
15:50:10.755,1,31924,0.0167,118
15:50:10.790,0,23102,0.0220,112
15:50:10.795,2,31552,0.0180,121
15:50:10.796,1,31936,0.0185,118
15:50:10.813,0,23112,0.0195,112
15:50:10.820,2,31564,0.0364,121
15:50:10.831,1,31949,0.0228,118
15:50:10.844,0,23123,0.0175,112
15:50:10.863,2,31574,0.0188,121
15:50:10.876,1,31960,0.0169,118
15:50:10.883,0,23130,0.0379,112
15:50:10.896,2,31588,0.0376,121
15:50:10.917,1,31972,0.0194,118
15:50:10.931,0,23139,0.0204,112
15:50:10.942,2,31599,0.0274,121
15:50:10.959,1,31985,0.0182,118
15:50:10.971,0,23148,0.0170,112
15:50:10.982,2,31611,0.0176,121
15:50:10.994,1,31997,0.0389,118
15:50:11.013,0,23158,0.0192,112
15:50:11.025,2,31622,0.0190,121
15:50:11.036,1,32009,0.0393,118
15:50:11.043,0,23165,0.0156,112
15:50:11.055,2,31634,0.0184,121
15:50:11.077,1,32020,0.0520,118
15:50:11.089,0,23174,0.1251,112
15:50:11.102,2,31647,0.0375,121
15:50:11.121,1,32031,0.0166,118
15:50:11.131,0,23183,0.0272,112
15:50:11.143,2,31659,0.0289,121
15:50:11.156,1,32043,0.0235,118
15:50:11.171,0,23192,0.0199,112
15:50:11.183,2,31671,0.0214,121
15:50:11.207,0,23200,0.0188,112
15:50:11.207,1,32055,0.0492,118
15:50:11.213,2,31681,0.0422,121
15:50:11.239,1,32068,0.0196,118
15:50:11.244,0,23210,0.0175,112
15:50:11.266,2,31694,0.0202,121
15:50:11.282,1,32080,0.0493,118
15:50:11.292,0,23219,0.0184,112
15:50:11.299,2,31707,0.0214,121
15:50:11.315,1,32092,0.0534,118
15:50:11.331,0,23228,0.0416,112
15:50:11.342,2,31717,0.0179,121
15:50:11.357,1,32103,0.0203,118
15:50:11.373,0,23237,0.0197,112
15:50:11.379,2,31731,0.0408,121
15:50:11.397,1,32114,0.0395,118
15:50:11.403,0,23245,0.0383,112
15:50:11.419,2,31741,0.0206,121
15:50:11.520,1,32277,0.1030,118
15:50:11.545,0,23396,0.0960,112
15:50:11.546,1,32288,0.2656,118
15:50:11.564,2,31899,0.1283,121
15:50:11.565,1,32302,0.0538,118
15:50:11.566,0,23406,0.0369,112
15:50:11.570,0,23414,0.0559,112
15:50:11.571,1,32313,0.0190,118
15:50:11.578,0,23423,0.0414,112
15:50:11.584,2,31911,0.0286,121
15:50:11.588,2,31923,0.0218,121
15:50:11.594,2,31934,0.0435,121
15:50:11.597,1,32325,0.3183,118
15:50:11.611,0,23433,0.0214,112
15:50:11.623,2,31947,0.0233,121
15:50:11.638,1,32337,0.0396,118
15:50:11.653,0,23443,0.0201,112
15:50:11.664,2,31958,0.0402,121
15:50:11.679,1,32348,0.0368,118
15:50:11.685,0,23451,0.0396,112
15:50:11.703,2,31971,0.0175,121
15:50:11.709,1,32359,0.0334,118
15:50:11.726,0,23460,0.0193,112
15:50:11.733,2,31982,0.0397,121
15:50:11.760,1,32371,0.0322,118
15:50:11.767,0,23470,0.0348,112
15:50:11.779,2,31995,0.0205,121
15:50:11.799,1,32382,0.0186,118
15:50:11.814,0,23480,0.0384,112
15:50:11.824,2,32006,0.0204,121
15:50:11.839,1,32394,0.0209,118
15:50:11.859,0,23489,0.0179,112
15:50:11.865,2,32017,0.0188,121
15:50:11.871,1,32407,0.0200,118
15:50:11.887,0,23498,0.0162,112
15:50:11.893,2,32030,0.0163,121
15:50:11.915,1,32419,0.0457,118
15:50:11.931,0,23507,0.0210,112
15:50:11.943,2,32043,0.0293,121
15:50:11.957,1,32431,0.0185,118
15:50:11.971,0,23517,0.0163,112
15:50:11.981,2,32054,0.0216,121
15:50:11.999,1,32442,0.0195,118
15:50:12.005,0,23526,0.0191,112
15:50:12.028,2,32066,0.0278,121
15:50:12.034,1,32454,0.0215,118
15:50:12.078,0,23535,0.0657,112
15:50:12.084,2,32079,0.0852,121
15:50:12.088,1,32466,0.0689,118
15:50:12.089,0,23544,0.0162,112
15:50:12.105,2,32092,0.0219,121
15:50:12.119,1,32478,0.0204,118
15:50:12.133,0,23553,0.0433,112
15:50:12.143,2,32102,0.0315,121
15:50:12.157,1,32490,0.0197,118
15:50:12.163,0,23562,0.0196,112
15:50:12.188,2,32114,0.0190,121
15:50:12.193,1,32501,0.0219,118
15:50:12.246,0,23571,0.0215,112
15:50:12.248,2,32124,0.0327,121
15:50:12.248,1,32513,0.0190,118
15:50:12.250,0,23580,0.0169,112
15:50:12.259,2,32136,0.0498,121
15:50:12.277,1,32525,0.0389,118
15:50:12.291,0,23588,0.0359,112
15:50:12.303,2,32150,0.0194,121
15:50:12.320,1,32537,0.0652,118
15:50:12.323,0,23596,0.0176,112
15:50:12.345,2,32161,0.1023,121
15:50:12.347,1,32549,0.0460,118
15:50:12.369,0,23606,0.0198,112
15:50:12.375,2,32174,0.0171,121
15:50:12.396,1,32561,0.0195,118
15:50:12.409,0,23614,0.0153,112
15:50:12.427,2,32185,0.0234,121
15:50:12.439,1,32573,0.0378,118
15:50:12.461,2,32197,0.0238,121
15:50:12.482,1,32584,0.0372,118
15:50:12.530,0,23765,0.0889,112
15:50:12.536,2,32209,0.0367,121
15:50:12.542,1,32596,0.0877,118
15:50:12.546,2,32220,0.0574,121
15:50:12.548,0,23776,0.0453,112
15:50:12.553,0,23786,0.0194,112
15:50:12.553,1,32609,0.0381,118
15:50:12.571,0,23796,0.0195,112
15:50:12.583,2,32232,0.0534,121
15:50:12.597,1,32621,0.0240,118
15:50:12.615,0,23804,0.0221,112
15:50:12.622,2,32245,0.0372,121
15:50:12.640,1,32634,0.0198,118
15:50:12.646,0,23813,0.0305,112
15:50:12.665,2,32257,0.0191,121
15:50:12.671,1,32644,0.0198,118
15:50:12.690,0,23822,0.0193,112
15:50:12.695,2,32268,0.0361,121
15:50:12.717,1,32656,0.0390,118
15:50:12.731,0,23830,0.0279,112
15:50:12.742,2,32280,0.0197,121
15:50:12.761,1,32667,0.0221,118
15:50:12.773,0,23840,0.0374,112
15:50:12.779,2,32291,0.0406,121
15:50:12.804,1,32678,0.0875,118
15:50:12.807,0,23851,0.0499,112
15:50:12.828,2,32304,0.0437,121
15:50:12.832,1,32690,0.0219,118
15:50:12.849,0,23861,0.0368,112
15:50:12.858,2,32315,0.0405,121
15:50:12.877,1,32701,0.0383,118
15:50:12.893,0,23870,0.0165,112
15:50:12.899,2,32328,0.0158,121
15:50:12.919,1,32713,0.0176,118
15:50:12.932,0,23879,0.0190,112
15:50:12.939,2,32339,0.0183,121
15:50:12.967,1,32727,0.0248,118
15:50:12.967,0,23887,0.0159,112
15:50:12.985,2,32352,0.0184,121
15:50:12.997,1,32739,0.0462,118
15:50:13.010,0,23896,0.0170,112
15:50:13.015,2,32365,0.0201,121
15:50:13.037,1,32752,0.0481,118
15:50:13.053,0,23905,0.0228,112
15:50:13.059,2,32376,0.0168,121
15:50:13.078,1,32764,0.0381,118
15:50:13.091,0,23914,0.0186,112
15:50:13.103,2,32388,0.0216,121
15:50:13.120,1,32776,0.0369,118
15:50:13.138,0,23924,0.0325,112
15:50:13.145,2,32401,0.0191,121
15:50:13.156,1,32787,0.0189,118
15:50:13.169,0,23933,0.0316,112
15:50:13.175,2,32411,0.0204,121
15:50:13.199,1,32799,0.0203,118
15:50:13.209,0,23942,0.0195,112
15:50:13.223,2,32424,0.0261,121
15:50:13.236,1,32810,0.0196,118
15:50:13.248,0,23951,0.0193,112
15:50:13.261,2,32436,0.0180,121
15:50:13.284,1,32821,0.0430,118
15:50:13.291,0,23960,0.0195,112
15:50:13.310,2,32449,0.0273,121
15:50:13.317,1,32834,0.0201,118
15:50:13.352,0,23968,0.2050,112
15:50:13.353,2,32459,0.0366,121
15:50:13.357,1,32846,0.0393,118
15:50:13.363,0,23978,0.0217,112
15:50:13.381,2,32470,0.0320,121
15:50:13.403,1,32858,0.0193,118
15:50:13.408,0,23987,0.0193,112
15:50:13.426,2,32483,0.0252,121
15:50:13.524,1,33021,0.1189,118
15:50:13.539,0,24139,0.1310,112
15:50:13.544,1,33032,0.0582,118
15:50:13.547,2,32641,0.0784,121
15:50:13.549,1,33045,0.0572,118
15:50:13.556,1,33057,0.0222,118
15:50:13.558,0,24149,0.0188,112
15:50:13.562,0,24157,0.0195,112
15:50:13.567,2,32653,0.0233,121
15:50:13.571,2,32665,0.0220,121
15:50:13.577,0,24166,0.0316,112
15:50:13.577,2,32677,0.0246,121
15:50:13.599,1,33068,0.0174,118
15:50:13.605,0,24175,0.0179,112
15:50:13.621,2,32690,0.0182,121
15:50:13.639,1,33080,0.0185,118
15:50:13.651,0,24185,0.0169,112
15:50:13.663,2,32700,0.0348,121
15:50:13.681,1,33091,0.0192,118
15:50:13.693,0,24194,0.0183,112
15:50:13.704,2,32711,0.0429,121
15:50:13.710,1,33103,0.0212,118
15:50:13.742,0,24203,0.0563,112
15:50:13.746,2,32722,0.0634,121
15:50:13.754,1,33115,0.0181,118
15:50:13.771,0,24213,0.0164,112
15:50:13.781,2,32734,0.0197,121
15:50:13.797,1,33127,0.0250,118
15:50:13.803,0,24222,0.0181,112
15:50:13.823,2,32748,0.0171,121
15:50:13.838,1,33138,0.0165,118
15:50:13.844,0,24232,0.0150,112
15:50:13.863,2,32758,0.0362,121
15:50:13.869,1,33150,0.0171,118
15:50:13.891,0,24241,0.0176,112
15:50:13.898,2,32770,0.0376,121
15:50:13.917,1,33162,0.0226,118
15:50:13.945,0,24249,0.0160,112
15:50:13.946,2,32782,0.0357,121
15:50:13.957,1,33174,0.0177,118
15:50:13.973,0,24259,0.0172,112
15:50:13.984,2,32794,0.0225,121
15:50:13.999,1,33185,0.0210,118
15:50:14.005,0,24268,0.0256,112
15:50:14.023,2,32805,0.0189,121
15:50:14.045,1,33197,0.0171,118
15:50:14.046,0,24277,0.0349,112
15:50:14.056,2,32817,0.0355,121
15:50:14.081,1,33210,0.0180,118
15:50:14.093,0,24287,0.0176,112
15:50:14.106,2,32830,0.0177,121
15:50:14.113,1,33222,0.0193,118
15:50:14.143,0,24296,0.0297,112
15:50:14.143,2,32841,0.0380,121
15:50:14.156,1,33232,0.0209,118
15:50:14.173,0,24306,0.0180,112
15:50:14.185,2,32852,0.0189,121
15:50:14.202,1,33244,0.0194,118
15:50:14.203,0,24314,0.0346,112
15:50:14.219,2,32863,0.0155,121
15:50:14.243,1,33257,0.1012,118
15:50:14.260,0,24323,0.0188,112
15:50:14.261,2,32875,0.0188,121
15:50:14.272,1,33269,0.0169,118
15:50:14.291,0,24332,0.0185,112
15:50:14.302,2,32887,0.0177,121
