wall_time_ns,gst_buffer_pts_ns,stage
1773150608588451648,29340307763,post_depay
1773150608620030422,29380307763,post_depay
1773150608665571607,29420307763,post_depay
1773150608706808886,29460307763,post_depay
1773150608747476058,29500307763,post_depay
1773150608788961093,29540307763,post_depay
1773150608820719801,29580307763,post_depay
1773150608866415463,29620307763,post_depay
1773150608906935566,29660307763,post_depay
1773150608948801977,29700307763,post_depay
1773150608981153956,29740307763,post_depay
1773150609025915760,29780307763,post_depay
1773150609066923982,29820307763,post_depay
1773150609109056321,29860307763,post_depay
1773150609140717607,29900307763,post_depay
1773150609186795274,29940307763,post_depay
1773150609227023289,29980307763,post_depay
1773150609269011169,30020307763,post_depay
1773150609301037644,30060307763,post_depay
1773150609346329565,30100307763,post_depay
1773150609387030423,30140307763,post_depay
1773150609448488788,30180307763,post_depay
1773150609474428269,30220307763,post_depay
1773150609509849932,30260307763,post_depay
1773150609541116216,30300307763,post_depay
1773150609586247100,30340307763,post_depay
1773150609627115688,30380307763,post_depay
1773150609669106158,30420307763,post_depay
1773150609700948692,30460307763,post_depay
1773150609745391950,30500307763,post_depay
1773150609787034447,30540307763,post_depay
1773150609829298971,30580307763,post_depay
1773150609860907432,30620307763,post_depay
1773150609906300631,30660307763,post_depay
1773150609946845605,30700307763,post_depay
1773150609989400397,30740307763,post_depay
1773150610020954310,30780307763,post_depay
1773150610065475997,30820307763,post_depay
1773150610107210701,30860307763,post_depay
1773150610149440234,30900307763,post_depay
1773150610181016416,30940307763,post_depay
1773150610226193623,30980307763,post_depay
1773150610266992397,31020307763,post_depay
1773150610309020243,31060307763,post_depay
1773150610340930288,31100307763,post_depay
1773150610382437221,31141307763,post_depay
1773150610441022179,31181307763,post_depay
1773150610475933210,31221307763,post_depay
1773150610506894498,31261307763,post_depay
1773150610547728840,31301307763,post_depay
1773150610588571036,31341307763,post_depay
1773150610630129986,31381307763,post_depay
1773150610661553492,31421307763,post_depay
1773150610706710753,31461307763,post_depay
1773150610747080619,31501307763,post_depay
1773150610789605893,31541307763,post_depay
1773150610821493193,31581307763,post_depay
1773150610866007324,31621307763,post_depay
1773150610907610276,31661307763,post_depay
1773150610949770450,31701307763,post_depay
1773150610981763368,31741307763,post_depay
1773150611026815496,31781307763,post_depay
1773150611067469713,31821307763,post_depay
1773150611109630016,31861307763,post_depay
1773150611141555160,31901307763,post_depay
1773150611186931330,31941307763,post_depay
1773150611227493921,31981307763,post_depay
1773150611269899125,32021307763,post_depay
1773150611301602331,32061307763,post_depay
1773150611346966954,32101307763,post_depay
1773150611387538770,32141307763,post_depay
1773150611449158690,32181307763,post_depay
1773150611470926905,32221307763,post_depay
1773150611512562597,32261307763,post_depay
1773150611542803087,32301307763,post_depay
1773150611587106274,32341307763,post_depay
1773150611627534453,32381307763,post_depay
1773150611669721628,32421307763,post_depay
1773150611701433939,32461307763,post_depay
1773150611746140660,32501307763,post_depay
1773150611787898157,32541307763,post_depay
1773150611829810611,32581307763,post_depay
1773150611861591925,32621307763,post_depay
1773150611906214309,32661307763,post_depay
1773150611948071132,32701307763,post_depay
1773150611990573492,32741307763,post_depay
1773150612021791164,32781307763,post_depay
1773150612066914055,32821307763,post_depay
1773150612108330597,32861307763,post_depay
1773150612150069761,32901307763,post_depay
1773150612182023939,32941307763,post_depay
1773150612226248720,32981307763,post_depay
1773150612268055088,33021307763,post_depay
1773150612310088416,33061307763,post_depay
1773150612341693297,33101307763,post_depay
1773150612386385311,33141307763,post_depay
1773150612467251979,33181307763,post_depay
1773150612477071727,33221307763,post_depay
1773150612510267699,33261307763,post_depay
1773150612550966276,33301307763,post_depay
1773150612581891000,33341307763,post_depay
1773150612627408862,33381307763,post_depay
1773150612668363663,33421307763,post_depay
1773150612710030700,33461307763,post_depay
1773150612741778276,33501307763,post_depay
1773150612787447429,33541307763,post_depay
1773150612828034907,33581307763,post_depay
1773150612870462714,33621307763,post_depay
1773150612902155280,33661307763,post_depay
1773150612947015847,33701307763,post_depay
1773150612988494640,33741307763,post_depay
1773150613030084297,33781307763,post_depay
1773150613061862066,33821307763,post_depay
1773150613106634283,33861307763,post_depay
1773150613148380967,33901307763,post_depay
1773150613190858260,33941307763,post_depay
1773150613222103187,33982307763,post_depay
1773150613267530490,34022307763,post_depay
1773150613308811453,34062307763,post_depay
1773150613350586337,34102307763,post_depay
1773150613382140685,34142307763,post_depay
1773150613458791747,34182307763,post_depay
1773150613476897581,34222307763,post_depay
1773150613507351140,34262307763,post_depay
1773150613548348344,34302307763,post_depay
1773150613590473056,34342307763,post_depay
1773150613622534624,34382307763,post_depay
1773150613667575102,34422307763,post_depay
1773150613708598077,34462307763,post_depay
1773150613750795371,34502307763,post_depay
1773150613782746576,34542307763,post_depay
1773150613827841617,34582307763,post_depay
1773150613868954977,34622307763,post_depay
1773150613911143798,34662307763,post_depay
1773150613942462476,34702307763,post_depay
1773150613988029449,34742307763,post_depay
1773150614028763137,34782307763,post_depay
1773150614070778800,34822307763,post_depay
1773150614102857045,34862307763,post_depay
1773150614147847240,34902307763,post_depay
1773150614188842406,34942307763,post_depay
1773150614230952111,34982307763,post_depay
1773150614262562361,35022307763,post_depay
1773150614307614411,35062307763,post_depay
1773150614348581594,35102307763,post_depay
1773150614390621520,35142307763,post_depay
1773150614455186300,35182307763,post_depay
1773150614480309805,35222307763,post_depay
1773150614517974531,35262307763,post_depay
1773150614548582689,35302307763,post_depay
1773150614646320542,35342307763,post_depay
1773150614646759511,35382307763,post_depay
1773150614670680730,35422307763,post_depay
1773150614702344439,35462307763,post_depay
1773150614747272871,35502307763,post_depay
1773150614788879418,35542307763,post_depay
1773150614830995803,35582307763,post_depay
1773150614862946451,35622307763,post_depay
1773150614907379441,35662307763,post_depay
1773150614948893717,35702307763,post_depay
1773150614991314310,35742307763,post_depay
1773150615023173132,35782307763,post_depay
1773150615068067824,35822307763,post_depay
1773150615108549914,35862307763,post_depay
1773150615150493147,35902307763,post_depay
1773150615182777640,35942307763,post_depay
1773150615227408546,35982307763,post_depay
1773150615269057433,36022307763,post_depay
1773150615311022310,36062307763,post_depay
1773150615343087020,36102307763,post_depay
1773150615388273886,36142307763,post_depay
1773150615463674652,36182307763,post_depay
1773150615504585399,36222307763,post_depay
1773150615510389823,36262307763,post_depay
1773150615551421046,36302307763,post_depay
1773150615582829639,36342307763,post_depay
1773150615628383932,36382307763,post_depay
1773150615668799562,36422307763,post_depay
1773150615712019530,36462307763,post_depay
1773150615743454449,36502307763,post_depay
1773150615787348952,36542307763,post_depay
1773150615828921789,36582307763,post_depay
1773150615871024668,36622307763,post_depay
1773150615903752449,36662307763,post_depay
1773150615948191448,36702307763,post_depay
1773150615989262994,36743307763,post_depay
1773150616031280800,36783307763,post_depay
1773150616063371471,36823307763,post_depay
1773150616108605025,36863307763,post_depay
1773150616149609706,36903307763,post_depay
1773150616192141313,36943307763,post_depay
1773150616223136645,36983307763,post_depay
1773150616267940671,37023307763,post_depay
1773150616309351981,37063307763,post_depay
1773150616351539414,37103307763,post_depay
1773150616383164554,37143307763,post_depay
1773150616460951934,37183307763,post_depay
1773150616480148952,37223307763,post_depay
1773150616507718090,37263307763,post_depay
1773150616548665916,37303307763,post_depay
1773150616589569090,37343307763,post_depay
1773150616632741747,37383307763,post_depay
1773150616663263323,37423307763,post_depay
1773150616708077422,37463307763,post_depay
1773150616749340028,37503307763,post_depay
1773150616792099592,37543307763,post_depay
1773150616823264947,37583307763,post_depay
1773150616867916031,37623307763,post_depay
1773150616909505660,37663307763,post_depay
1773150616951302514,37703307763,post_depay
1773150616984256525,37743307763,post_depay
1773150617028930968,37783307763,post_depay
1773150617069768601,37823307763,post_depay
1773150617111389350,37863307763,post_depay
1773150617143357175,37903307763,post_depay
1773150617188129536,37943307763,post_depay
1773150617229357821,37983307763,post_depay
1773150617272045200,38023307763,post_depay
1773150617303825856,38063307763,post_depay
1773150617349199311,38103307763,post_depay
1773150617390237797,38143307763,post_depay
1773150617470090288,38183307763,post_depay
1773150617491892978,38223307763,post_depay
1773150617503328143,38263307763,post_depay
1773150617548935136,38303307763,post_depay
1773150617590047342,38343307763,post_depay
1773150617632071665,38383307763,post_depay
1773150617663676520,38423307763,post_depay
1773150617708028346,38463307763,post_depay
1773150617749741769,38503307763,post_depay
1773150617792965186,38543307763,post_depay
1773150617823477233,38583307763,post_depay
1773150617868578467,38623307763,post_depay
1773150617910236094,38663307763,post_depay
1773150617952095742,38703307763,post_depay
1773150617983773883,38743307763,post_depay
1773150618028666882,38783307763,post_depay
1773150618069920289,38823307763,post_depay
1773150618112577478,38863307763,post_depay
1773150618143922825,38903307763,post_depay
1773150618188778383,38943307763,post_depay
1773150618230158626,38983307763,post_depay
1773150618272574640,39023307763,post_depay
1773150618303914140,39063307763,post_depay
1773150618348588047,39103307763,post_depay
1773150618390193161,39143307763,post_depay
1773150618467569106,39183307763,post_depay
1773150618499572267,39223307763,post_depay
1773150618513863071,39263307763,post_depay
1773150618544999538,39303307763,post_depay
1773150618589981689,39343307763,post_depay
1773150618631169718,39383307763,post_depay
1773150618672769500,39423307763,post_depay
1773150618704254328,39463307763,post_depay
1773150618748074673,39503307763,post_depay
1773150618790063908,39544307763,post_depay
1773150618832700080,39584307763,post_depay
1773150618864303022,39624307763,post_depay
1773150618908922604,39664307763,post_depay
1773150618950465718,39704307763,post_depay
1773150618993077805,39744307763,post_depay
1773150619024727560,39784307763,post_depay
1773150619069591821,39824307763,post_depay
1773150619110469068,39864307763,post_depay
1773150619152528118,39904307763,post_depay
1773150619184227609,39944307763,post_depay
1773150619228788281,39984307763,post_depay
1773150619270333322,40024307763,post_depay
1773150619312837963,40064307763,post_depay
1773150619344051478,40104307763,post_depay
1773150619388759163,40144307763,post_depay
1773150619464480908,40184307763,post_depay
1773150619485177172,40224307763,post_depay
1773150619513813061,40264307763,post_depay
1773150619554258087,40304307763,post_depay
1773150619585640407,40344307763,post_depay
1773150619629226511,40384307763,post_depay
1773150619670899195,40424307763,post_depay
1773150619712914501,40464307763,post_depay
1773150619744792424,40504307763,post_depay
1773150619788918864,40544307763,post_depay
1773150619830622326,40584307763,post_depay
1773150619873344024,40624307763,post_depay
