abs_time,cam_index,frame_in,rtp_seq
1778609456.436143,0,751,21602
1778609456.437700,2,751,36008
1778609456.441832,1,751,37470
1778609456.476498,0,752,21619
1778609456.483876,2,752,36031
1778609456.484456,1,752,37491
1778609456.516391,0,753,21637
1778609456.520055,2,753,36053
1778609456.523740,1,753,37516
1778609456.546537,0,754,21662
1778609456.553185,2,754,36074
1778609456.557620,1,754,37535
1778609456.594920,0,755,21682
1778609456.596431,2,755,36103
1778609456.601919,1,755,37554
1778609456.634745,0,756,21700
1778609456.638266,2,756,36124
1778609456.643608,1,756,37573
1778609456.678827,0,757,21723
1778609456.681530,2,757,36153
1778609456.687405,1,757,37591
1778609456.710101,0,758,21744
1778609456.719306,1,758,37616
1778609456.720072,2,758,36178
1778609456.771603,0,759,21767
1778609456.775562,2,759,36200
1778609456.780983,1,759,37633
1778609456.794370,0,760,21787
1778609456.798440,2,760,36222
1778609456.803502,1,760,37653
1778609456.835569,0,761,21806
1778609456.839230,2,761,36244
1778609456.845268,1,761,37672
1778609456.877609,0,762,21824
1778609456.883411,2,762,36266
1778609456.890538,1,762,37689
1778609456.909179,0,763,21850
1778609456.915077,2,763,36291
1778609456.917824,1,763,37714
1778609456.952765,0,764,21871
1778609456.956380,2,764,36315
1778609456.960788,1,764,37744
1778609456.995047,0,765,21893
1778609456.997843,2,765,36337
1778609457.008080,1,765,37764
1778609457.035454,0,766,21914
1778609457.042540,2,766,36359
1778609457.047420,1,766,37783
1778609457.075376,2,767,36383
1778609457.079460,1,767,37801
1778609457.080370,0,767,21935
1778609457.110547,0,768,21964
1778609457.119759,2,768,36411
1778609457.122325,1,768,37818
1778609457.154492,0,769,21992
1778609457.160708,2,769,36440
1778609457.164256,1,769,37844
1778609457.197117,0,770,22011
1778609457.202558,2,770,36463
1778609457.205620,1,770,37862
1778609457.235865,0,771,22034
1778609457.241191,2,771,36486
1778609457.246500,1,771,37881
1778609457.278825,1,772,37907
1778609457.283996,2,772,36508
1778609457.301688,0,772,22053
1778609457.321593,2,773,36543
1778609457.326606,0,773,22091
1778609457.328429,1,773,37942
1778609457.359576,2,774,36580
1778609457.360750,0,774,22126
1778609457.365437,1,774,37972
1778609457.393759,0,775,22156
1778609457.404544,2,775,36612
1778609457.408745,1,775,38000
1778609457.435148,2,776,36644
1778609457.437665,0,776,22188
1778609457.441229,1,776,38079
1778609457.476618,0,777,22212
1778609457.506200,2,777,36672
1778609457.506457,1,777,38095
1778609457.529364,0,778,22290
1778609457.531616,1,778,38118
1778609457.531745,2,778,36736
1778609457.549883,0,779,22305
1778609457.561799,2,779,36754
1778609457.565930,1,779,38142
1778609457.595243,0,780,22322
1778609457.599333,2,780,36771
1778609457.604372,1,780,38162
1778609457.633249,2,781,36789
1778609457.635541,0,781,22343
1778609457.638968,1,781,38185
1778609457.675577,0,782,22364
1778609457.678615,2,782,36810
1778609457.686250,1,782,38213
1778609457.719904,0,783,22389
1778609457.724336,2,783,36836
1778609457.729867,1,783,38241
1778609457.747382,0,784,22410
1778609457.761174,2,784,36863
1778609457.768444,1,784,38261
1778609457.792482,0,785,22435
1778609457.799250,1,785,38289
1778609457.805249,2,785,36884
1778609457.833437,2,786,36909
1778609457.837905,0,786,22463
1778609457.841964,1,786,38310
1778609457.878002,0,787,22484
1778609457.880308,2,787,36934
1778609457.884463,1,787,38332
1778609457.919178,0,788,22506
1778609457.922501,2,788,36958
1778609457.926875,1,788,38354
1778609457.948908,0,789,22527
1778609457.957696,1,789,38378
1778609457.962751,2,789,36982
1778609457.993616,0,790,22554
1778609457.997356,2,790,37003
1778609458.002861,1,790,38397
1778609458.041590,0,791,22582
1778609458.060722,2,791,37029
1778609458.067159,1,791,38425
1778609458.077565,0,792,22605
1778609458.081377,2,792,37056
1778609458.086443,1,792,38453
1778609458.109323,0,793,22627
1778609458.116286,1,793,38476
1778609458.120414,2,793,37079
1778609458.153367,0,794,22646
1778609458.157505,2,794,37101
1778609458.161262,1,794,38495
1778609458.196253,0,795,22672
1778609458.199930,2,795,37121
1778609458.203987,1,795,38524
1778609458.240991,0,796,22695
1778609458.242409,2,796,37149
1778609458.275771,1,796,38553
1778609458.287308,1,797,38587
1778609458.313892,0,797,22713
1778609458.317566,2,797,37179
1778609458.322624,0,798,22741
1778609458.328771,2,798,37212
1778609458.331455,1,798,38610
1778609458.363241,1,799,38624
1778609458.367316,0,799,22774
1778609458.371204,2,799,37227
1778609458.398286,0,800,22800
1778609458.400415,2,800,37244
1778609458.404378,1,800,38650
1778609458.437000,0,801,22817
1778609458.439414,2,801,37268
1778609458.445477,1,801,38668
1778609458.476133,0,802,22843
1778609458.479760,2,802,37291
1778609458.487485,1,802,38691
1778609458.518415,1,803,38718
1778609458.522504,0,803,22871
1778609458.525322,2,803,37316
1778609458.553414,0,804,22892
1778609458.555781,2,804,37345
1778609458.560825,1,804,38745
1778609458.595507,0,805,22912
1778609458.598799,2,805,37366
1778609458.605830,1,805,38777
1778609458.638365,0,806,22930
1778609458.642198,2,806,37385
1778609458.646136,1,806,38849
1778609458.678223,1,807,38861
1778609458.678331,0,807,22958
1778609458.692588,2,807,37411
1778609458.719714,0,808,23034
1778609458.722657,1,808,38880
1778609458.724398,2,808,37486
1778609458.749485,0,809,23048
1778609458.759930,2,809,37500
1778609458.763509,1,809,38895
1778609458.795978,0,810,23069
1778609458.801242,2,810,37516
1778609458.803360,1,810,38919
1778609458.838182,0,811,23091
1778609458.838320,1,811,38940
1778609458.844339,2,811,37533
1778609458.877722,0,812,23111
1778609458.882324,1,812,38964
